,text
16724,"We remember María Victoria DeJesús-Márquez, who came to the mainland U.S. from Puerto Rico in the 1950’s with her husband. After 2 decades, the family would return to Puerto Rico, but she arrived in Bordentown in 2017, as a refugee following Hurricane Maria. May God bless Maria."
16725,"We remember Teresa Sandoval, who immigrated to the U.S. from Mexico 23 years ago to have a better life. As she grew older, Teresa was diagnosed with diabetes, which would eventually take her vision, but not her spirit. May God bless her."
16726,"We remember Obinna Eke, who was a patient care technician at 
@UnivHospNewark
. Obinna came to the U.S. from Nigeria when he was 22 years old. He was pursuing his degree in sociology & pre-nursing at 
@bloomfieldedu
 – this spring was to be his final semester. May God bless Obinnna."
16727,"Sadly, we’ve lost another 48 members of our New Jersey family to #COVID19, bringing our statewide total to 12,489 lives lost.

For them, and for everyone we have lost, our flags remain at half-staff."
16728,"LOOK:
415 patients reported in either critical or intensive care
300 ventilators in use
117 new #COVID19 hospitalizations yesterday – we know there is an issue with this data
133 discharges yesterday"
16729,"LOOK: Our hospitals currently have 1,480 patients being treated for #COVID19.

Our Field Medical Stations reported 6 patients."
16730,"We continue to work hard to push down the curve of newly identified #COVID19 cases at our long-term care facilities, and to stem the loss of residents to COVID-19 related causes."
16731,"NEW: We’ve received 495 new positive #COVID19 test results, bringing our statewide total to 166,164.

The spot positivity rate for tests from June 8th was 2.5%."
16732,"LOOK: We still have to be careful – that’s why we’re not throwing the doors of our state all the way open on Monday.

We still must be vigilant, and we still must keep social distancing our top priority."
16733,"Because so many of YOU joined us in the effort to push our curves down, we’ve seen steady decreases in:
Numbers of patients being treated for #COVID19
Numbers of patients entering our hospitals
Numbers of patients requiring intensive care
Number of ventilators in use"
16734,"Public health creates economic health.

Data determines dates.

We will move as quickly as we can, but as safely as we must."
16735,"LOOK: This map was prepared by an independent group of health care experts and analysts who have been tracking #COVID19.

We’re ONE of only FIVE states in green.

This tells us that we’re better prepared, at this time, to move forward than many of our peers."
16736,"Our transmission rate of #COVID19 has dropped to among the lowest in the country.

Right now, the national news is reporting about other states witnessing spikes in COVID-19 cases and impacts – states which rushed to reopen. The foolhardiness of their actions is now being seen."
16737,"NEW: Today 
@NewJerseyDOE
 is releasing guidance that will allow school districts to conduct in-person summer educational programs – including Extended School Year and special education services –beginning July 6th. "
16738,"NEW: This weekend, 
@NJDeptofHealth
 will release the guidance necessary for organized sports to resume on Monday, June 22nd. "
16739,"NEW: Tomorrow 
@NJSP
 Colonel Callahan will be issuing an Administrative Order clarifying that libraries are permitted to do curbside pickup starting Monday, June 15th. "
16740,"We've tried to work with the governing body of Asbury Park to resolve the issue of indoor dining. Because they haven't done so, 
@NewJerseyOAG
 will bring a lawsuit today against the city government of Asbury Park.
 
Our rules are based on one principle – ensuring public health."
16741,"We’re all in this together as we move into Stage 2 of our restart and recovery on Monday.

When you sit down to eat, or enter a store, look for the One Jersey Pledge that signifies that we’re all in this together, and that your health and safety is a top priority."
16742,Holding a COVID-19 briefing. WATCH:
16743,"Today we'll release #COVID19 guidance for personal care businesses – which may reopen on 6/22:
Beauty salons
Barber shops
Cosmetology shops
Day & medical spas
Electrology facilities
‍Hair braiding shops
Massage parlors
Nail salons
Tanning salons
Tattoo parlors"
16744,"Join me live today at 1:00 PM for our daily briefing on #COVID19 in New Jersey.
 
YouTube: https://youtube.com/njgovernorsoffice…
Twitter: https://twitter.com/GovMurphy
Facebook: https://facebook.com/governorphilmurphy…"
16745,"• Mercer: 510
• Middlesex: 1,069
• Monmouth: 661
• Morris: 631
• Ocean: 803
• Passaic: 984
• Salem: 55
• Somerset: 432
• Sussex: 149
• Union: 1,104
• Warren: 137"
16746,"We’ve lost an additional 70 New Jerseyans to #COVID19, bringing our total of loss of life to 12,443.
• Atlantic: 171
• Bergen: 1,646
• Burlington: 349
• Camden: 400
• Cape May: 55
• Cumberland: 102
• Essex: 1,723
• Gloucester: 155
• Hudson: 1,242
• Hunterdon: 65"
16747,"• Mercer: 7,275
• Middlesex: 16,327
• Monmouth: 8,627
• Morris: 6,601
• Ocean: 9,166
• Passaic: 16,555
• Salem: 689
• Somerset: 4,721
• Sussex: 1,149
• Union: 16,337
• Warren: 1,198
• Under Investigation: 653"
16748,"UPDATE: We have 539 new positive #COVID19 cases, bringing our total to 165,816.
• Atlantic: 2,431
• Bergen: 18,719
• Burlington: 4,832
• Camden: 6,938
• Cape May: 663
• Cumberland: 2,627
• Essex: 18,234
• Gloucester: 2,367
• Hudson: 18,675
• Hunterdon: 1,032"
16749,"LOOK how our Rt compares among our peer states. 

Take a good look at the states above us – specifically TX, GA, & FL, states which rushed to reopen.

My job isn’t to worry about the next headline or the next election. It’s about keeping the Rt rate down. It’s about saving lives."
16750,"We’ve come too far together to see all the good nine million New Jerseyans have done, undone in haste. 

One step forward today cannot lead to two steps back tomorrow."
16751,"Let’s keep practicing our social distancing.

Let’s remember the One Jersey Pledge when our economy takes its next step in our restart and recovery on Monday.

Let’s keep moving forward together."
16752,"We remember Ruthie Saab, who spent much of the past three decades as a dedicated and recognized employee of 
@NJLaborDept
. She was a regular volunteer with the Trenton Area Soup Kitchen, and a founding member and president of the Sisters Club in Trenton. May God bless her."
16753,"We remember Reverend Clarence Sickles. Through his work at St. James Episcopal Church, he helped create a non-profit corporation and build a retirement community. He was an author of religious history, and even wrote three children’s books. May God bless Reverend Sickles."
16754,"We remember Delores Simon, who was known to many as Lois. She was proud and giving, a woman of faith and compassion, and had a knack for making sure everyone around her was okay. She took special delight in her own family – they were her greatest pride and joy. May God bless her."
16755,"Sadly, we’ve lost another 70 members of our New Jersey family to #COVID19.

We’ve now lost 12,433 New Jerseyans in the 100 days since our first positive test result. For them, and for everyone we have lost, our flags remain at half-staff."
16756,"LOOK:
445 patients reported in either critical or intensive care
319 ventilators in use
27 new #COVID19 hospitalizations yesterday – we know there is an issue with this data
169 discharges yesterday"
16757,"LOOK: Our hospitals currently have 1,512 patients being treated for #COVID19.

Our Field Medical Stations reported 9 patients."
16758,"We continue to work hard to push down the curve of newly identified #COVID19 cases at our long-term care facilities, and to stem the loss of residents to COVID-19 related causes."
16759,"NEW: We’ve received 539 new positive #COVID19 test results, bringing our statewide total to 165,816.

The spot positivity rate for tests from June 7th was 3.8%."
16760,"NEW: We’ve created the One Jersey Pledge – a pact that lays out that we all share a responsibility to see our restart and recovery through.

We’re all in this together, and getting past #COVID19 is our TOP priority."
16761,"NEW: More than 4,000 businesses responded to our statewide business survey.

More than half of them said:
Their #1 concern was consumer confidence
They’re looking to us for the guidance they’ll need to restore consumer confidence in health and safety"
16762,"UPDATE: More than $6 billion has flowed into New Jersey’s households from 
@NJLaborDept
 since this emergency began.

The Labor Department will not rest until every claim is settle and every penny is properly disbursed."
16763,"UPDATE: EVERY SINGLE ONE of the 70,000 New Jerseyans who had exhausted their previous eligibility, and are eligible for expanded federal benefits, have been CLEARED to receive that assistance."
16764,"UPDATE: The number of New Jerseyans who have claimed weekly unemployment benefits since #COVID19 took hold is by far the largest volume 
@NJLaborDept
 has ever served in such a short period of time.

94% have received payment."
16765,"At 100 days, I want to say THANK YOU to the millions of New Jerseyans who understood why we took the actions we did, and who remain understanding of the need for us to remain vigilant.

Because of YOU, we can enter Stage 2 of our restart and recovery on Monday. #JerseyStrong"
16766,"Some states which did not take the threat of #COVID19 as seriously as we did, & which rushed to reopen, are now seeing some of their biggest spikes in the very same metrics that we see falling across NJ.

It’s been common sense for the common good. We’re seeing the results today."
16767,"Over the last two weeks, alone, we’ve continued our progress as one New Jersey.

We’ve slowed the rate of transmission to 0.62 – one of the lowest in the nation.

We’re not done yet, but I’m confident. 

This is New Jersey. We’ve always beaten the odds."
16768,"Two months ago, we were reeling. #COVID19 was at its peak in New Jersey.

NOW:
New hospitalizations are down more than 90%
Total hospitalizations are down 80%
Ventilator use has dropped nearly 80%
Number of patients in our ICUs is down by fully 3/4"
16769,"Today marks 100 days since the first case of #COVID19 in New Jersey.

It’s hard to fathom the impact this virus has had on our state, communities, and economy.

For 100 days, we’ve asked you to take extraordinary steps. 

I’m so proud of how New Jerseyans responded. #JerseyStrong"
16770,Holding a COVID-19 briefing. WATCH:
16771,"Join me live today at 1:00 PM for our daily briefing on #COVID19 in New Jersey.
 
YouTube: https://youtube.com/njgovernorsoffice…
Twitter: https://twitter.com/GovMurphy
Facebook: https://facebook.com/governorphilmurphy…"
16772,"This #PrideMonth, let us celebrate our LGBTQ+ community by continuing to make New Jersey a beacon of inclusion and a model of diversity for our entire nation."
16773,"Yesterday, I signed two EOs moving us forward on our road back. Let's break them down
Effective immediately:
Limits are raised on indoor and outdoor gatherings
Additional outdoor recreational businesses can reopen

Effective 6/22:
Pools can open

http://nj.gov/governor/news/news/562020/approved/20200609a.shtml…"
16774,"• Mercer: 510
• Middlesex: 1,064
• Monmouth: 652
• Morris: 627
• Ocean: 792
• Passaic: 982
• Salem: 55
• Somerset: 431
• Sussex: 149
• Union: 1,103
• Warren: 135"
16775,"We’ve lost an additional 74 New Jerseyans to COVID-19, bringing our total of loss of life to 12,377.
• Atlantic: 168
• Bergen: 1,635
• Burlington: 344
• Camden: 394
• Cape May: 54
• Cumberland: 100
• Essex: 1,723
• Gloucester: 153
• Hudson: 1,242
• Hunterdon: 64"
16776,"• Mercer: 7,245
• Middlesex: 16,288
• Monmouth: 8,563
• Morris: 6,596
• Ocean: 9,100
• Passaic: 16,524
• Salem: 687
• Somerset: 4,698
• Sussex: 1,144
• Union: 16,317
• Warren: 1,197
• Under Investigation: 665"
16777,"UPDATE: We have 611 new positive #COVID19 cases, bringing our total to 165,346.
• Atlantic: 2,422
• Bergen: 18,667
• Burlington: 4,826
• Camden: 6,903
• Cape May: 662
• Cumberland: 2,604
• Essex: 18,206
• Gloucester: 2,357
• Hudson: 18,647
• Hunterdon: 1,028"
16778,"Let’s do all we can to keep New Jersey on the road back. REMEMBER:
Practice social distancing
Wash your hands
Wear a face covering when you’re out in public
Get tested for #COVID19: http://covid19.nj.gov/testing"
16779,"LOOK: We’re still not out of the woods. We’re still near the top of some lists we don’t want to be atop of.

Social distancing and personal responsibility must remain our priorities."
16780,"LOOK: The numbers of hospitalizations, patients in our ICUs, and ventilators in use all continue to push DOWNWARD.

These trends have been sustained over time, and are evident across each region of our state."
16781,"We remember Dr. Godwin Onochie Molokwu, who was one of our front-line health care heroes. He dedicated his life and 25-year-long career to medicine. He cared deeply about his family, colleagues, patients, and community. May his legacy be a source of pride and peace."
16782,"We remember Sidney and Miriam Schneider, who went by Sid and Mikki. Mikki channeled her love of fashion into a successful personal shopping business, and Sid owned a successful pharmacy. Sid and Mikki were inseparable until the end. May God bless them both."
16783,"Sadly, we’ve lost another 74 members of our New Jersey family to #COVID19, bringing our statewide total to 12,377.

It’s been only 99 days since our first positive COVID-19 case. This is a historic and unprecedented tragedy for our state."
16784,"LOOK:
471 patients reported in either critical or intensive care
342 ventilators in use
156 new #COVID19 hospitalizations yesterday
171 discharges yesterday"
16785,"LOOK: Our hospitals currently have 1,701 patients being treated for #COVID19.

Our Field Medical Stations reported 9 patients."
16786,"We continue to work hard to push down the curve of newly identified #COVID19 cases at our long-term care facilities, and to stem the loss of residents.

We’ve distributed more than 27 million pieces of PPE across the spectrum of our LTC facilities."
16787,"NEW: We’ve received 611 new positive #COVID19 test results, bringing our statewide total to 165,346.

The rate of spread for each new case remains below one – at 0.64.

The spot positivity rate for tests from June 6th was 3.4%."
16788,"We’ve worked hard to expand testing and contact tracing capacity. This will not only put us firmly on the road back – but also ensure we stay there.
 
To learn more, visit: http://covid19.nj.gov/testandtrace."
16789,"We’re creating a broad public awareness campaign to ensure our residents know the vital importance of testing and contact tracing.

We’re working within our communities to establish and expand trust, and engage directly with residents and community leaders."
16790,"LIMITS: Our tracers will know the limits of what they need to do their jobs, and the limits of how that information will be used.
We will not tolerate any tracer who steps outside those professional bounds."
16791,"SECURITY: Our tracers will be properly trained to prevent the leaking of any information provided to them, and the CommCare platform’s encryption and security functions will provide an additional level of confidence against outsiders."
16792,TRANSPARENCY: Our tracers will be clear with how any contact information they’re given is used and handled. Contact tracers will be trained to ONLY ASK for the names and phone numbers of those they need to be in touch with.
16793,"CONSENT: Our tracers will only contact those individuals whose names they’re given by someone who has tested positive for #COVID19.
There will be no wild-goose chases or rogue investigations."
16794,"Four Pillars of New Jersey’s Contact Tracing Program:
Consent
Transparency
Security
Limits"
16795,TRANSPARENCY: Our tracers will be clear with how any contact information they’re given is used and handled. Contact tracers will be trained to ONLY ASK for the names and phone numbers of those they need to be in touch with.
16796,"CONSENT: Our tracers will only contact those individuals whose names they’re given by someone who has tested positive for #COVID19.

There will be no wild-goose chases or rogue investigations."
16797,"Our contact tracers will be trained by 
@RutgersSPH
 and by local health departments. We will bring them fully up to speed on the CommCare platform – the database that allows us to do this work effectively. THIS IS NOT A TRACKING APP."
16798,"We anticipate that our initial scaling efforts will require us to bring at least 1,600 additional contact tracers on board in June. We’re already preparing for the first cohort.

We’re fully prepared to bring on as many as 4,000 contact tracers, or more, should we see the need."
16799,"Each step of our restart and recovery will be accompanied by the on-boarding of new contact tracers.
 
As part of their training, contact tracers will follow a full curriculum that includes a focus on interview skills, ethics, and privacy."
16800,"New Jersey’s robust contact tracing program will supplement and support the great work of our local health departments.
 
Our goal is to ensure that contact tracers receive information that is uniform, secure, and can benefit other communities."
16801,Holding a COVID-19 briefing. WATCH:
16802,"CONTACT TRACERS:
Notify people who’ve been in close contact with an individual who has tested positive for #COVID19
Urge them to get tested and help them find a testing site
Urge them to self-quarantine and provide support
Help prevent further spread"
16803,There are roughly 900 contact tracers already at work in local health departments across New Jersey – identifying the people who’ve been in close contact with an individual who has tested  positive for #COVID19 in the days immediately before their positive test result.
16804,"#COVID19 is still out there and among us. There is no vaccine, and there are no proven therapeutics. The only real protections we have against coronavirus are:
Social distancing
Testing
Contact tracing"
16805,Holding a COVID-19 briefing. WATCH:
16806,"Just got tested for #COVID19 with 
@FirstLadyNJ
 – it was quick and easy.

I urge all New Jerseyans – especially those who have taken part in protests or marches like us – to go out and get tested.

To find a testing location near you, visit http://covid19.nj.gov/testing."
16807,"Join me live today at 1:00 PM for our daily briefing on #COVID19 in New Jersey.
 
YouTube: http://youtube.com/njgovernorsoffice…
Twitter: https://twitter.com/GovMurphy
Facebook: http://facebook.com/governorphilmurphy…"
16808,"Mocking George Floyd’s murder in effort to belittle the calls for justice from our Black and Brown communities is repugnant. I condemn this behavior in the strongest terms possible. 

We won’t let the actions of a few distract from our progress toward dismantling systemic racism."
16809,"I anticipate being able to raise the limit on OUTDOOR non-protest and non-religious gatherings – unless we see a significant uptick in new #COVID19 cases – to:
250 people on 6/22
500 people on 7/3
 
Schools planning graduations should prepare for a 500-person limit by 7/6."
16810,"• Mercer: 509
• Middlesex: 1,053
• Monmouth: 650
• Morris: 626
• Ocean: 787
• Passaic: 977
• Salem: 54
• Somerset: 430
• Sussex: 149
• Union: 1,100
• Warren: 135"
16811,"We’ve lost an additional 91 New Jerseyans to COVID-19, bringing our total of loss of life to 12,303.
• Atlantic: 167
• Bergen: 1,628
• Burlington: 334
• Camden: 381
• Cape May: 54
• Cumberland: 95
• Essex: 1,722
• Gloucester: 153
• Hudson: 1,235
• Hunterdon: 64"
16812,"• Mercer: 7,204
• Middlesex: 16,251
• Monmouth: 8,512
• Morris: 6,605
• Ocean: 9,059
• Passaic: 16,492
• Salem: 686
• Somerset: 4,679
• Sussex: 1,140
• Union: 16,302
• Warren: 1,193
• Under Investigation: 680"
16813,"UPDATE: We have 375 new positive #COVID19 cases, bringing our total to 164,796.
• Atlantic: 2,401
• Bergen: 18,573
• Burlington: 4,808
• Camden: 6,849
• Cape May: 654
• Cumberland: 2,583
• Essex: 18,151
• Gloucester: 2,340
• Hudson: 18,607
• Hunterdon: 1,027"
16814,"Public health creates economic health.

Our economy can’t restart unless we know that New Jerseyans have confidence that we’re doing all we can to safeguard their health.

Let’s all keep doing our parts."
16815,"GO OUT AND GET TESTED FOR #COVID19.

Getting tested can save lives as we more fully begin our restart and recovery.

Visit http://covid19.nj.gov/testing to find a testing location near you."
16816,"We remember Julian Rydarowski, who enlisted in the U.S. Navy and assisted the 1st Marine Division during the Korean War. After returning home, he spent nearly 40 years in medicine. He loved spending time with his family. Jules was a model New Jerseyan. May God bless him."
16817,"We remember Suzanne Koransky. She dedicated her career to the Wayne Public Schools, first as the nurse at Schuyler Colfax Middle School before becoming the district-wide Supervisor of Health Services. May God bless her."
16818,"We remember Anthony Lupo, a longtime Ridgewood resident. He was an active member of his community, particularly with Our Lady of Mount Carmel, where he was a  member of the Knights of Columbus & Men’s Cornerstone. He was also a volunteer basketball coach. May God bless him."
16819,"Sadly, we’ve lost another 91 members of our New Jersey family to #COVID19, bringing our statewide total to 12,303.

We can never forget those we’ve lost, and who will not be joining us on our road back. May they never be just a number."
16820,"LOOK:
510 patients reported in either critical or intensive care
373 ventilators in use
84 new #COVID19 hospitalizations yesterday
88 discharges yesterday"
16821,"LOOK: Our hospitals currently have 1,736 patients being treated for #COVID19 – our sixth-straight day of being below 2,000 statewide.

Our Field Medical Stations reported 12 patients."
16822,"We continue to work hard to push town the curve of newly identified #COVID19 cases at our long-term care facilities & to stem the loss of residents.

We’ll continue our commitment to working with the industry on long-term reforms that will ensure we’re stronger today & tomorrow."
16823,"NEW: We’ve received 375 new positive #COVID19 test results, bringing our statewide total to 164,796.

The rate of spread for each new case remains below one – at 0.64.

The spot positivity rate for tests from June 5th was 3%."
16824,"We can take these steps today because of the data and the prevailing science.

The data tells us that the time can be now.

The science tells us that outdoor activities are far safer than indoor activities.

We will continue to base our decisions squarely on facts and data."
16825,"LOOK: We’re still not out of the woods. We’re still near the top of some lists we don’t want to be atop of.

This is why we need you to continue practicing distancing."
16826,"The numbers of hospitalizations, patients in our ICUs, and patients on ventilators, continues to push DOWNWARD.

We’ve seen these trends sustained over time, and across each region of our state."
16827,"Today’s EO also authorizes the opening of:
Pools on June 22nd
All outdoor recreational and entertainment businesses that were previously closed – with the exceptions of amusement parks, water parks, and arcades"
16828,"Today’s EO:
Allows for greater indoor religious services
Explicitly allows outdoor gatherings of more than 100 persons for First Amendment-protected outdoor activities – such as political protests or outdoor religious services"
16829,"BREAKING: I’m signing an EO RAISING THE LIMIT ON INDOOR AND OUTDOOR GATHERINGS.

Effective immediately:
Indoor gatherings will be permitted at whichever number is lower – 25% of a building’s capacity or 50 people total
Limit on outdoor gatherings will be raised to 100 people"
16830,"PUBLIC HEALTH CREATES ECONOMIC HEALTH.

We cannot move through Stage 2 and into Stage 3, and beyond, unless we continue to see our numbers trending downward.

We cannot become complacent or irresponsible."
16831,"BREAKING: Today I’m signing an Executive Order LIFTING OUR STAY-AT-HOME ORDER.

Please continue to be responsible and safe. Wear face coverings and keep a social distance from others when out in public."
16832,Holding a COVID-19 briefing. WATCH:
16833,"Join me live today at 1:00 PM for our daily briefing on #COVID19 in New Jersey.
 
YouTube: https://youtube.com/njgovernorsoffice…
Twitter: https://twitter.com/GovMurphy
Facebook: https://facebook.com/governorphilmurphy…"
16834,"Today, we unveiled NJT2030 and a Five-Year Capital Plan – providing the vision to transform 
@NJTRANSIT
 into an innovative, world-class public transportation provider that meets the travel needs of every New Jerseyan.

http://nj.gov/governor/news/news/562020/approved/20200608b.shtml…"
16835,"• Mercer: 504
• Middlesex: 1,043
• Monmouth: 640
• Morris: 625
• Ocean: 781
• Passaic: 975
• Salem: 53
• Somerset: 427
• Sussex: 149
• Union: 1,100
• Warren: 135"
16836,"We’ve lost an additional 40 New Jerseyans to #COVID19, bringing our total of loss of life to 12,214.
• Atlantic: 167
• Bergen: 1,621
• Burlington: 327
• Camden: 374
• Cape May: 51
• Cumberland: 90
• Essex: 1,710
• Gloucester: 152
• Hudson: 1,226
• Hunterdon: 64"
16837,"• Mercer: 7,184
• Middlesex: 16,227
• Monmouth: 8,498
• Morris: 6,602
• Ocean: 9,041
• Passaic: 16,461
• Salem: 682
• Somerset: 4,670
• Sussex: 1,141
• Union: 16,241
• Warren: 1,192
• Under Investigation: 732"
16838,"UPDATE: We have 356 new positive #COVID19 cases, bringing our total to 164,497.
• Atlantic: 2,383
• Bergen: 18,538
• Burlington: 4,798
• Camden: 6,827
• Cape May: 647
• Cumberland: 2,575
• Essex: 18,117
• Gloucester: 2,332
• Hudson: 18,584
• Hunterdon: 1,025"
16839,"We remember Angela “Anjie” Rodriguez, one of our front-line health care heroes. She worked at 
@UnivHospNewark
, and loved to spend time with her family and to travel. She was devoted to her Catholic faith, and loved to laugh. She leaves behind her 3 children. May God bless her."
16840,"DO YOUR PART TO KEEP NEW JERSEY MOVING FORWARD:
Practice social distancing
Wash your hands
Wear face coverings when out in public
Get tested"
16841,"GET TESTED FOR #COVID19. Visit http://covid19.nj.gov/testing and use our new Test Site Finder.

The more tests we record, the better the data we receive. The better the data we receive, the more surely we can take our steps into Stage 2 of our restart and recovery and toward Stage 3."
16842,"We remember Tiran Billups, President of Amalgamated Transit Union Local 819. When #COVID19 began to take hold, Tiran was one of the leaders making sure his union brothers and sisters had the PPE they needed. Tiran was a great leader. May God bless him."
16843,"We remember Kathryn ‘Toby’ Jones, who worked as a Registered Nurse at hospitals for more than four decades. After her retirement, she continued to volunteer at Underwood Memorial Hospital, logging more than 10,000 hours of volunteer service in just 9 years. May God bless Toby."
16844,"Sadly, we’ve lost another 40 members of our New Jersey family to #COVID19, bringing our statewide total to 12,214.

We remember all we have lost to COVID-19. Let not one of them ever become just a number."
16845,"LOOK: We still need to practice caution.

Our standing against our fellow states is improving, but we still need to keep working to drive our ranking down – these are all categories we DON’T want to be near the top in."
16846,"According to an analysis by 
@voxdotcom
, we’re ONE OF ONLY SIX STATES to have made strong progress on the numbers of #COVID19 cases, and on building out testing & hospital capacity.

We should be proud to have met these benchmarks & to be a leader in the fight against this virus."
16847,"LOOK: Hospitalizations, ICU counts, and ventilator use have all dropped TREMENDOUSLY since the peak and over the past two weeks.

We’re ready to enter Stage 2 together as one New Jersey next Monday."
16848,"LOOK:
Number of patients reported in either critical or intensive care dropped to 498 – this number has been cut fully in half in just the past three weeks
Ventilator used dropped to 361
94 new #COVID19 hospitalizations yesterday
112 discharges yesterday"
16849,"LOOK: Our hospitals currently have 1,740 patients being treated for #COVID19 – our fifth-straight day of being below 2,000 statewide.

Our Field Medical Stations reported 16 patients."
16850,"We continue to work hard to push town the curve of newly identified #COVID19 cases at our long-term care facilities, and to stem the loss of residents.

We’re committed to being a leader in taking on this challenge, and ensuring the health and safety of residents and staff."
16851,"NEW: We’ve received 356 new positive #COVID19 test results, bringing our statewide total to 164,497.

The rate of spread for each new case remains below one – at .70.

The spot positivity rate for tests from June 4th was 3.6%."
16852,"A safe and reliable 
@NJTRANSIT
 is necessary to help us travel our road back.

If we work together to make the vision in these plans reality, NJ TRANSIT will help power New Jersey’s resurgence at a time when we need it most."
16853,".
@NJTRANSIT
’s Five-Year Capital Plan identifies short-term and long-term capital needs, to help show us the path forward.

No one will deny the challenge, but we cannot allow the past three years of progress to be undone."
16854,"NJT2030 includes action to give customers and transit operators confidence as we begin our restart and recovery:
Enhanced cleaning
Social distancing
Use of PPE among customers and employees
Enhanced communications
Greater cooperation with our regional transit partners"
16855,"NJT2030 includes 26 strategies to:
Ensure systemwide reliability & safety
Deliver a high-quality experience
Power a stronger & fairer economic recovery
Build an even more accountable, innovative & inclusive culture within 
@NJTRANSIT
Promote a more sustainable future"
16856,"NEW: Today, we’re proud to introduce:
NJT2030, 
@NJTRANSIT
’s first-ever, long-term, ten-year strategic plan
NJ TRANSIT’s five-year capital plan

New Jersey’s road back from #COVID19 also rides along NJ TRANSIT’s trains, buses, and light rail."
16857,"UPDATE: Later today, 
@NJDeptofHealth
 will issue guidance that will guide camps – including municipal recreation programs and summer educational programming – through the reopening process to ensure that everyone has a safe but memorable summer. "
16858,"To everyone who took part in protests this weekend: Please go out and get tested for #COVID19.

To find a testing site near you, visit: http://covid19.nj.gov/testing."
16859,"Throughout New Jersey, peaceful protests took place this weekend to say: Black Lives Matter. Systemic racism must be relegated to history.

We must use this time to transform our society, and ourselves, so that we finally live up to our nation's highest ideals."
16860,Holding a COVID-19 briefing. WATCH:
16861,"NEW: Municipal and private-club swimming pools can REOPEN on Monday, June 22nd. 
@NJDeptofHealth
 will release full guidance tomorrow relating to the procedures and protocols that will need to be followed."
16862,"Join me live today at 2:30 PM for our daily briefing on #COVID19 in New Jersey.
 
YouTube: https://youtube.com/njgovernorsoffice…
Twitter: https://twitter.com/GovMurphy
Facebook: https://facebook.com/governorphilmurphy…"
16863,For Nala and for every young Black person – your life matters. We will fight to break the chains of inequality and systemic racism to ensure you live in a state and nation defined by justice and love.
16864,"I’m in awe of Nala’s courage – the same courage we’re seeing from young people across our nation.

But I’m angry and devastated that we live in a nation where they have to protest for their right to live.

We cannot accept this as normal. We must do better."
16865,"Last week, Nala Angella Scott, a high school junior, wrote me a heartbreaking and powerful letter inviting me to today’s protest and describing her own experiences with racism growing up in Westfield.

Today, so many New Jerseyans and I gathered with her to demand change."
16866,"Today, in Hillside, we marched for justice. 

For George Floyd and for the many before him – who lost their lives for being Black.

We march because we will not accept systemic racism and bias as just part of our national condition. Black Lives Matter."
16867,"• Mercer: 501
• Middlesex: 1,040
• Monmouth: 641
• Morris: 626
• Ocean: 774
• Passaic: 972
• Salem: 53
• Somerset: 426
• Sussex: 149
• Union: 1,098
• Warren: 132"
16868,"Confirmed #COVID19 Deaths By County:
• Atlantic: 167
• Bergen: 1,618
• Burlington: 327
• Camden: 369
• Cape May: 51
• Cumberland: 90
• Essex: 1,707
• Gloucester: 153
• Hudson: 1,218
• Hunterdon: 64"
16869,"• Mercer: 7,166
• Middlesex: 16,198
• Monmouth: 8,478
• Morris: 6,592
• Ocean: 9,022
• Passaic: 16,449
• Salem: 675
• Somerset: 4,662
• Sussex: 1,140
• Union: 16,186
• Warren: 1,189
• Under Investigation: 744"
16870,"Confirmed #COVID19 Cases By County:
• Atlantic: 2,364
• Bergen: 18,512
• Burlington: 4,785
• Camden: 6,799
• Cape May: 646
• Cumberland: 2,564
• Essex: 18,077
• Gloucester: 2,328
• Hudson: 18,565
• Hunterdon: 1,023"
16871,"NEW: NJ has 426 new confirmed positive cases of #COVID19, pushing our total to 164,164. Of those cases:
1,769 are in hospitals
503 are in critical or intensive care
379 are on ventilators

Sadly, we’ve lost 79 more New Jerseyans, pushing our total to 12,176 lives lost."
16872,"• Hunterdon: 63

• Mercer: 500

• Middlesex: 1,032

• Monmouth: 636

• Morris: 626

• Ocean: 767

• Passaic: 969

• Salem: 52

• Somerset: 425

• Sussex: 149

• Union: 1,095

• Warren: 132"
16873,"Confirmed COVID-19 Deaths By County:

• Atlantic: 167

• Bergen: 1,612

• Burlington: 314

• Camden: 364

• Cape May: 50

• Cumberland: 90

• Essex: 1,701

• Gloucester: 152

• Hudson: 1,210"
16874,"• Hunterdon: 1,022

• Mercer: 7,148

• Middlesex: 16,203

• Monmouth: 8,454

• Morris: 6,584

• Ocean: 8,979

• Passaic: 16,436

• Salem: 670

• Somerset: 4,664

• Sussex: 1,136

• Union: 16,116

• Warren: 1,190

• Under Investigation: 782"
16875,"Confirmed COVID-19 Cases By County:

• Atlantic: 2,330

• Bergen: 18,492

• Burlington: 4,769

• Camden: 6,785

• Cape May: 643

• Cumberland: 2,557

• Essex: 18,066

• Gloucester: 2,319

• Hudson: 18,548"
16876,"NEW: NJ has 606 new confirmed positive cases of #COVID19, pushing our total to 163,893. Of those cases:
1,882 are in hospitals
539 are in critical or intensive care
385 are on ventilators

Sadly, we’ve lost 60 more New Jerseyans, pushing our total to 12,106 lives lost."
16877,"Our 
@PNCArtsCenter
 testing site is STILL OPEN today, with 425 tests remaining for New Jersey residents. Priority will be given to first responders.

More info: http://covid19.nj.gov/testing."
