videoId,publishedAt,channelId,title,description,channelTitle,viewCount,likeCount,favoriteCount,commentCount
Y35EHDRNUeo,2024-02-06T13:00:34Z,UCwAnu01qlnVg1Ai2AbtTMaA,You’re using ChatGPT wrong,"You're using #ChatGPT wrong but it's not your fault. In this video, we dive into the top 5 mistakes users make with ChatGPT and ...",Jeff Su,146706,8425,0,372
KgYvmhCrm7c,2023-11-27T20:00:12Z,UC9-57Ntc215xLogxRrvy57w,I asked Chat GPT to make an angry puppy,,SLG,32215556,1646112,0,7688
XA6nhzMGVFo,2024-01-09T04:54:20Z,UCH_eu1lvvxpgoFc2lVruhkQ,The perfect imperfection 🥺  #ai #aiart #chatgpt,,Neemulify,18883683,1265167,0,13755
3ao7Z8duDXc,2023-01-24T13:30:01Z,UCsvqVGtbbyHaMoevxPAq9Fg,Chat GPT Explained in 5 Minutes | What Is Chat GPT ? | Introduction To Chat GPT | Simplilearn,Purdue Post Graduate Program In AI And Machine Learning: ...,Simplilearn,1185135,12065,0,933
P27tcMJyb2A,2023-05-24T22:40:33Z,UCjU7AreEw9dXtCBc1uOpaTg,Hilarious ChatGPT Conversations,shorts.,cardogjones,3289879,241268,0,411
O8hQStVHTO0,2024-01-05T15:30:11Z,UCWZwfV3ICOt3uEPpW6hYK4g,36 ChatGPT Tips for Beginners in 2024! (Become a PRO!),ChatGPT Mastery Course: https://hi.switchy.io/chatgpt-mastery-course This video offers a comprehensive guide on mastering ...,AI Foundations,107243,3886,0,123
VaADDSuQqYE,2024-01-14T14:00:08Z,UC_mTME_0z6pEteDMRUUwKlA,"ChatGPT, Show Me...",Join My Newsletter: www.teddywang.com.,teddywang86,373885,3594,0,234
JTxsNm9IdYU,2022-12-12T10:52:13Z,UCvM5YYWwfLwpcQgbRr68JLQ,ChatGPT Tutorial - A Crash Course on Chat GPT for Beginners,"This ChatGPT Tutorial is a Crash Course on Chat GPT for Beginners. With the increase in popularity, ChatGPT is still unknown to ...",Adrian Twarog,5546714,82385,0,2851
s1eP3S7Sj88,2023-12-25T18:43:15Z,UCH_eu1lvvxpgoFc2lVruhkQ,NOTHING WILL STOP THE METEOR ☄️ #ai #aiart #aiartwork #aigenerated #chatgpt,,Neemulify,1621961,102747,0,2169
qeg8KE5W_J8,2023-12-23T02:10:53Z,UCH_eu1lvvxpgoFc2lVruhkQ,Nothing Will Stop the Snow Ball ❄️ Part 2 #ai #aigenerated #chatgpt,,Neemulify,4322590,243600,0,2381
gtgA4u8V_TQ,2023-02-12T20:38:00Z,UCQHX6ViZmPsWiYSFAyS0a3Q,ChatGPT Chess DISASTER,️Get My Chess Courses: https://www.chessly.com/ ➡️ Get my best-selling chess book: https://geni.us/gothamchess ➡️ My ...,GothamChess,3886410,297588,0,3346
zqVtHYFYQY8,2023-10-26T17:55:01Z,UCQz2VpIRSApVqoZ_wDt5sfg,ChatGPT Tutorial 2024: How to Use ChatGPT - Beginner to Pro!,In this up-to-date ChatGPT tutorial you are going learn how to use ChatGPT and go from beginner to pro in 1 hour! This full ...,Daragh Walsh,278684,8638,0,238
2sALkeXh9mQ,2023-12-20T02:29:46Z,UCH_eu1lvvxpgoFc2lVruhkQ,It&#39;s Just a Game 😱 #ai #aiart #aigenerated #chatGPT it&#39;s just a game,,Neemulify,2285302,126671,0,1408
vYvOTGk7hOA,2023-06-07T21:26:46Z,UCTQuKo8v0PaPCvk5aRxc_Yg,How To Use ChatGPT To Learn ANY Skill Quickly (Tutorial),The BEST AI website builder for under $3/month (use code CHARLIECHANG for 90% discount): ...,Charlie Chang,1468911,51643,0,519
wBAnCMA98ls,2023-09-21T09:00:43Z,UCJtUOos_MwJa_Ewii-R3cJA,Don&#39;t Use ChatGPT Until You Watch This Video,"Get access to ""Quick Wins with ChatGPT"" productivity course: https://link.xelplus.com/yt-chatgpt-improve-course use coupon ...",Leila Gharani,1268829,38782,0,955
8xsOF8_pMig,2024-01-24T21:09:32Z,UCXCXPY17AXTcs-Os_in3R9A,O CHAT GPT E O FLAMENGUISTA #shorts,,IdéIAs AleatorIAs,2587390,228755,0,1385
btgLXPgLXzo,2023-05-12T02:54:40Z,UCjU7AreEw9dXtCBc1uOpaTg,Funny ChatGPT Conversations,shorts.,cardogjones,11928051,628523,0,1963
qWqFkhDp1vo,2024-01-15T08:23:33Z,UC_mTME_0z6pEteDMRUUwKlA,"ChatGPT, Show Me Lasagna",,teddywang86,5503822,300533,0,499
DdXgbrktfuc,2024-01-27T01:37:30Z,UCNqbqoJ_k1U-WS3YIgc-9ww,PARTE 2 - Sapinho Bravo VS ChatGPT,PARTE 2 - Sapinho Bravo VS ChatGPT #chatgpt #aiart #chatgptstories #dalle3.,Strikker 2,1583713,164036,0,922
65wxl14PItI,2024-02-11T01:26:24Z,UCJsaPV-pqxBcgXMpEcz9xTg,Historias con IA 🤖 parte 25,shorts #ia #chatgpt.,RandomQuiz,263866,22165,0,470
1t6FNyW3JmE,2024-01-11T14:36:20Z,UC_mTME_0z6pEteDMRUUwKlA,"ChatGPT, Show Me Chicken Nuggets",,teddywang86,23105123,914474,0,2191
ZC_gMWzNZQ4,2024-01-25T19:33:57Z,UCXCXPY17AXTcs-Os_in3R9A,O CHAT GPT E OS PERSONAGENS DE ONE PIECE #shorts,,IdéIAs AleatorIAs,1692416,180431,0,767
G4-iD_7n098,2023-12-06T18:00:07Z,UCJvBXBYPWE1aIlrM0r1Ilhw,Can ChatGPT Improve my Cool Drawing?,"ChatGPT can see images, so I drew a silly stick figure and asked the AI to improve the drawing! This time I tried a gas mask ...",Greenskull AI,2147588,135747,0,574
-fopYsgFdzc,2023-03-31T15:00:01Z,UCIxLxlan8q9WA7sjuq6LdTQ,10 ChatGPT Life Hacks - THAT’LL CHANGE YOUR LIFE !!,"Hey guys! Welcome back to Hayls World! Today's video is all about ChatGPT and how it can change your life! In ""10 ChatGPT Life ...",Hayls World,2428340,69870,0,2836
nY234RoQeHw,2023-03-20T22:17:01Z,UCGy7SkBjcIAgTiwkXEtPnYg,I Asked ChatGPT To Make Me As Much Money As Possible,I Asked ChatGPT-4 To Make Me As Much Money As Possible: ▻ Where I Buy My Bitcoin: https://coinbase-consumer.sjv.io/Andrei ...,Andrei Jikh,1486893,37538,0,881
81mRMJ9Ck7E,2023-03-12T21:51:26Z,UCQMjMW-9PhWoH6TWwmnVWvA,Exploiting ChatGPT,"Suddenly, Ubba begins to chant and a new video comes out. And on a saturday! ♢ People in the video ♢ Gavin (Purple) ...",CallMeCarson,890322,60034,0,3883
oc4PZympgvk,2023-12-15T20:30:06Z,UCJvBXBYPWE1aIlrM0r1Ilhw,TROLLING CHATGPT 5,"I decided to troll ChatGPT by pushing its buttons. I'm ChatGPT, ChatGPT. It's that simple. In this video I use the AI chatbot ChatGPT ...",Greenskull AI,746139,40582,0,230
QQeKj9qVNPE,2023-03-27T01:53:31Z,UCinyEr-Fly9Yp1zMFx_D0cQ,How to write an entire book with ChatGPT,FREE Courses from LURN == https://www.Lurn.com/getfreecourses ...,Anik Singal,949968,66799,0,631
lO6NqiE2BKY,2024-01-14T07:08:49Z,UCH_eu1lvvxpgoFc2lVruhkQ,Stepping on lego 😱 #ai #aiart #chatgpt,,Neemulify,3312741,110895,0,1851
nIvw-0NLCV8,2024-01-21T11:48:28Z,UC_mTME_0z6pEteDMRUUwKlA,"ChatGPT, Show Me Curry",,teddywang86,3188415,152512,0,470
aipPMzSCL3w,2023-12-20T15:07:29Z,UCXFFHC6j30V0FaqX9tnx9cQ,More Puppy! 🐶 #ai #minecraft #chatgpt #dalle3 #angry #gpt #puppy,,AI Stories,89598,3061,0,133
kvTs_nbc8Eg,2023-02-12T09:15:01Z,UCUV5-V-QKR3tUTkKE1X_QMA,ChatGPT vs Stockfish,Learn Chess: https://www.youtube.com/gothamchess ➡️ Free Chess Courses: https://www.chessly.com ➡️ Probably Edited ...,Gotham Clips,11316071,645555,0,6420
LHC862LOljk,2023-06-17T15:00:12Z,UCt3JiNkefsfbA2N4SgEkoiQ,The Horrifying Dangers of ChatGPT,Thanks to Guardio for sponsoring this video. Check out https://guard.io/visualventure for a 7-day trial and 20% off your ...,Visual Venture,355709,15794,0,1122
HK6y8DAPN_0,2024-02-17T05:15:46Z,UCXZCJLdBC09xxGZ6gcdrc6A,Introducing Sora — OpenAI’s text-to-video model,"Introducing Sora, our text-to-video model. Sora can create videos of up to 60 seconds featuring highly detailed scenes, complex ...",OpenAI,1183842,28639,0,0
FojyYKU58cw,2023-05-14T15:10:00Z,UCQHX6ViZmPsWiYSFAyS0a3Q,Google vs. ChatGPT: INSANE CHESS,Get My Chess Courses: https://www.chessly.com/ ➡️ Get my best-selling chess book: https://geni.us/gothamchess ➡️ My book ...,GothamChess,1995031,90017,0,4507
3x95mw35dJY,2023-03-16T15:59:36Z,UC415bOPUcGSamy543abLmRA,What GPT-4 Can Really Do,GPT- 4 is out and here are 2 ways it's so much crazier than the last version that we all freaked out about. GPT4 is the model under ...,Cleo Abram,2054383,121475,0,1766
hi33HXq_IFA,2023-02-03T10:31:54Z,UCKMDqnJbYx6yv0N-dRvRAgQ,4 Ways to Make $800 a Day with Chat GPT in 2023,How to make money with ChatGPT in 4 easy ways. ✓ Free Training: How I Make Passive Income Online: ...,Caffeinated Blogger,1776611,120791,0,762
O9f9npjOmkA,2023-12-22T23:32:09Z,UC_mTME_0z6pEteDMRUUwKlA,"ChatGPT, Show Me a Hamburger",Join My Newsletter: www.teddywang.com.,teddywang86,84922,1219,0,86
f7cCzC8Vl4g,2024-01-21T19:13:42Z,UCNqbqoJ_k1U-WS3YIgc-9ww,PARTE 2 - Gatinho Bravo VS Super Cachorrinho,PARTE 2 - Gatinho Bravo VS Super Cachorro #chatgpt #aiart #chatgptstories.,Strikker 2,830483,75726,0,589
fBhMqSXGRhI,2024-01-16T06:05:51Z,UC_mTME_0z6pEteDMRUUwKlA,"ChatGPT, Show Me American",,teddywang86,0,0,0,0
yYVE6K8wDvo,2023-05-21T16:00:48Z,UC4Z8mPYjn6Dhr6n531YDh0Q,ChatGPT Plagiarism College,,UFD Tech,616868,44404,0,588
CGCH0ANHJzk,2024-02-01T14:07:54Z,UCNqbqoJ_k1U-WS3YIgc-9ww,Fui X1 Contra o ChatGPT 🤖,Fui X1 Contra o ChatGPT #aiart #chatgpt #strikker #chatgptstories.,Strikker 2,3815026,349229,0,3679
htbf7Fr8Jj8,2023-12-27T05:25:37Z,UCSLCzcD4nKwf-eAighk-ixw,Average Video Game Players 🎮 #ai #aiart #chatgpt,,Ganelify,784487,30299,0,1864
wHsnzeq-laI,2023-12-16T01:41:12Z,UCH_eu1lvvxpgoFc2lVruhkQ,Exploring a New Planet #ai #aiart #aigenerated #chatgpt,,Neemulify,551329,42597,0,839
J5ArSJfQng0,2023-01-22T09:39:24Z,UCKMDqnJbYx6yv0N-dRvRAgQ,Use ChatGPT to Make $320 Per Day | Make Money with AI,Free Training: How I Make Passive Income Online: https://ContentDough.com ❤️ Follow Me On Instagram: ...,Caffeinated Blogger,2921494,209736,0,1416
8Ln5C7xSXak,2023-08-01T16:20:27Z,UCoVpToOpCIPNOxdGHBsLRkw,Как Использовать ChatGPT Чтобы Выучить ЛЮБОЙ Навык за Неделю,Обучение со скидкой - https://vizavi.academy/marafon Telegram канал: https://t.me/vizavi_academy Научись чему угодно с ...,Визави,492443,25761,0,694
rcuvT5rYwHY,2023-05-18T11:33:30Z,UCGLpvpp4Vqd3LFVqST56JTw,Write An Entire Ebook in 24 hours Using ChatGPT &amp; Canva | Easy Passive Income,MAKE $5000 BY CHRISTMAS BY SELLING THIS! PASSIVE INCOME | MAKE MONEY ONLINE | DIGITAL PRODUCTS ...,Janessa Lynnae,64781,3413,0,292
_5RMC2z1750,2023-12-31T10:37:34Z,UCfffMmfW6onREcb-CcBYNSA,Asian Man 🍚🍙 #ai #aiart  #aigenerated #chatgpt,,memefish,15274618,834710,0,9326
i7PpcbDusJs,2024-01-16T17:01:00Z,UCXCXPY17AXTcs-Os_in3R9A,A ROSQUINHA DO CHAT GPT #chatgpt #chatgpt4 #Shorts #inteligenciaartificial #storytelling #engraçado,,IdéIAs AleatorIAs,648289,79365,0,669
K7z0jlE61IM,2022-12-22T05:05:43Z,UCZ0OUexrcZammbgvSwvGlZg,Don&#39;t use ChatGPT until you&#39;ve watched this video!,Don't use ChatGPT until you've watched this video! This is an important insight for all website and blog owners out there using ...,Alden Adison,3604836,189207,0,3397
HgKuXe6nQAc,2024-01-21T12:41:11Z,UCH_eu1lvvxpgoFc2lVruhkQ,Beautiful song with a beautiful ending ✨  #ai #aiart #chatgpt,,Neemulify,6301657,308552,0,8943
3_96VDFvZ5I,2024-02-13T19:34:02Z,UCU98JVxJf-VQXbPQPNbkbQQ,Students who use chat gpt,,Meditations for the anxious mind,95233,5730,0,374
iHM3nuceXtA,2023-12-21T08:06:47Z,UCH_eu1lvvxpgoFc2lVruhkQ,Raspberry People #ai #aistory  #aiart #aigenerated #chatgpt,,Neemulify,5746802,206560,0,1791
DCPHAz35TIE,2024-01-20T21:25:09Z,UCregwQOoquesG98JzdyzTEg,O SOL FICOU PU** COM A CORRUPÇÃO NA TERRA 🌎🌞 #chatgpt #inteligenciaartificial #sol #meme #historia,,Mendesxz AI,166609,16795,0,174
iIWPd3WRbdk,2024-02-04T17:31:12Z,UCNqbqoJ_k1U-WS3YIgc-9ww,Super Bunker Fortificado Anti-ChatGPT 🤖 - Parte 2,Super Bunker Fortificado Anti-ChatGPT - Parte 2 #chatgpt #aiart #chatgptstories #strikker.,Strikker 2,1873449,252052,0,1626
w8Vvvxf_61M,2024-02-01T20:53:24Z,UC22xl4RgG572fyrUR69Dwgw,ChatGPT e o Enzo viciado em Roblox,"Neste vídeo, o GabHOFF1 cria um personagem fictício, nomeado de ""Enzo"", o mesmo é extremamente viciado em Roblox.",GabHOFF1,1867205,108501,0,36
_ks5nM-ScTE,2023-06-20T00:00:08Z,UCNYW2vfGrUE6R5mIJYzkRyQ,Una experiencia lúgubre con la I.A ChatGPT,"Si el video te gusta, valoraría mucho que le dieras like y que comentaras algo. ¡Gracias! ❤ | ¡Suscríbete! http://bit.ly/1a1sm3k ...",DrossRotzank,2788499,187361,0,10578
fNEQBFtkS-Y,2023-04-05T16:02:57Z,UC51UPs8iqgC6ugVROBcUQEQ,Use ChatGPT To Get Any Job,ChatGPT can do a lot of things and I found a way to have it create the perfect cover letter and resume! #technology #chatgpt ...,Matty McTech,1134149,57970,0,665
t3D5EAV0slc,2024-02-10T16:30:12Z,UCVZfL-166IU-eBsvQqwgahA,POR TI pt 1 #chatgpt #iaart #calle13,chatgpt​ #iaart​ #memes​ #freefire​ #freefireshorts​ #mexico​ #méxico​ #gaming​ #fortnite​ #fnf​ #fnaf​ #roblox​ #viral​ ...,Memetología,2271719,180672,0,1249
0EGezRVeqx0,2023-05-12T02:00:00Z,UCzsfa_xBwTsUGFnMPU-W6Cg,How Would ChatGPT Beat Minecraft?,"Would artificial intelligence beat Minecraft how we do? In this video, I beat the game using ChatGPT. With access to unlimited ...",MysteryOre,2053305,97558,0,4614
hOIbO5vRS8w,2024-01-10T05:38:11Z,UC_mTME_0z6pEteDMRUUwKlA,"ChatGPT, Show Me Buffet",,teddywang86,2261304,112680,0,517
N8Wz7LF2QS0,2023-06-11T16:00:17Z,UCke6I9N4KfC968-yRcd5YRg,Using ChatGPT in Among Us,We use ChatGPT to win in Modded Among Us ☞ Subscribe & click the bell Subscribe ...,SSundee,4110955,92466,0,2561
EaNyFB-jctg,2024-02-13T21:43:57Z,UCbY9xX3_jW5c2fjlZVBI4cg,GPT-4&#39;s New &quot;Memory&quot; Feature Is RELEASED! (ChatGPT Memory Update),Join Our Weekly Newsletter - https://mailchi.mp/6cff54ad7e2e/theaigrid Follow us on Twitter https://twitter.com/TheAiGrid ...,TheAIGRID,17063,477,0,20
oqSYljRYDEM,2023-06-10T13:06:33Z,UCpa-Zb0ZcQjTCPP1Dx_1M8Q,How to Use ChatGPT to Ruin Your Legal Career,Maybe A.I. isn't ready for primetime. Check out https://legaleagle.link/80000 for free career advice that will change the world ...,LegalEagle,3106899,87005,0,6669
vPF7nk7jS4g,2023-06-03T05:51:34Z,UCjU7AreEw9dXtCBc1uOpaTg,Funniest ChatGPT Conversations,shorts.,cardogjones,6742078,335670,0,740
ll-KnYTPki8,2023-01-12T11:00:33Z,UCs0kMbzhUYV2lhIV7xoWhoA,Secular ChatGPT | #shorts,chatgpt #shorts #secularguy Buy New Sham Sharma Show Merch: https://kadakmerch.com/collections/the-sham-sharma-show ...,The Sham Sharma Show,1626269,116824,0,3390
AjzOJzzvVmM,2024-01-05T20:58:16Z,UCwrMzAw5ImJdnWaKiQ1A-bw,terceira guerra feito pelo chat gpt😁quem ganhou???,inteligenciaartificial #chatgpt #gbl #minecraft #ias #ai #foryou.,GBL,42723,2685,0,160
rZYn_KwcPA4,2023-02-14T01:07:10Z,UCJvBXBYPWE1aIlrM0r1Ilhw,Using ChatGPT to get Image Prompts #shorts #ai #aiart #midjourney #funny #chatgpt,"Let's ask ChatGPT what Midjourney prompts I should use to blend images! Cats, spaceships, surrealism, and more! In this video I ...",Greenskull AI,726593,60312,0,329
5Ntnwrhizts,2024-02-09T14:27:37Z,UCregwQOoquesG98JzdyzTEg,ESSE MENINO GOSTAVA DE QUEIJO ATÉ DE MAIS 💀💀 #queijo #menino #chatgpt,,Mendesxz AI,296584,23277,0,1932
Nqy0p2f7IYI,2023-05-10T13:52:40Z,UC3mB75p33VLYk3nv2SOVrmw,ChatGPT Moment,LIKE THE VIDEO Patreon: https://www.patreon.com/memezee Business Email: sponsormemezee@gmail.com Twitter ...,Meme Zee,13425192,487050,0,5684
t_6p9y0_Vrw,2024-02-02T12:52:37Z,UC_mTME_0z6pEteDMRUUwKlA,"ChatGPT, Show Me Chopsticks",,teddywang86,431678,20081,0,77
MgLJPkGFBWE,2024-01-23T09:26:08Z,UCH_eu1lvvxpgoFc2lVruhkQ,🍬 #ai #aiart #chatgpt,,Neemulify,2057933,109857,0,1415
egy-BdWlgWo,2023-03-09T17:51:18Z,UCoqNxr4Zvyw-fodyhHAj_Fg,How I Get PICTURES From CHATGPT,Generate pictures using OpenAI Chat GPT explained. Shoutout to my girlfriend and chinese pinterest for showing me this. #shorts ...,Shill,225741,5529,0,68
aH3YPO-3jyk,2023-02-16T23:04:18Z,UChmOR1T5ZNnbRUba3lHRTOg,ChatGPT - COMO USAR ESSA TECNOLOGIA REVOLUCIONÁRIA?,"Confira os cursos da Alura! https://bit.ly/coisadenerd_alura Leon e Nilce usam o ChatGPT, a mais nova ferramenta da OpenAI que ...",República Coisa de Nerd,602767,42552,0,659
alCJ7qYp7SY,2024-01-04T02:56:54Z,UC_mTME_0z6pEteDMRUUwKlA,"ChatGPT, Show Me A Pizza",,teddywang86,6933063,276722,0,788
8Dkbe0Ikg9g,2024-01-31T15:07:21Z,UCH_eu1lvvxpgoFc2lVruhkQ,Can you guess the ending? ✨ #ai #aiart #chatgpt,,Neemulify,1039916,52763,0,824
BpUl4jGjdUY,2024-01-27T13:31:29Z,UCNqbqoJ_k1U-WS3YIgc-9ww,🤖 ChatGPT VS Sapo Raivoso 🐸 - HISTÓRIA COMPLETA,O ChatGPT Deixou esse Sapinho Muito Bravo #chatgpt #aiart #chatgptstories #dalle3 Seja membro deste canal e ganhe ...,Strikker 2,42530,2260,0,95
3mIqCO3f96c,2023-03-05T22:53:39Z,UCdR_AsuI1Bq4eUFj08St4tw,I Made a Game Using ChatGPT,Today I Made a Game With ChatGPT. In this unity devlog / indie devlog video I made a game with AI. Can an AI make a good ...,Rye,2452934,41817,0,1471
MnDudvCyWpc,2023-04-20T16:38:10Z,UCBIAwBBq5l2JIqWbxC_Tmqg,How to use ChatGPT to easily learn any skill you want,"In today's video, I show you how I've been using AI to help me learn any skill or subject that I want. I've been attempting to ...",Bri Does AI,1776360,88327,0,2387
EPS72pRtGdk,2024-02-10T15:53:21Z,UC6AtTVM8_YBX7JRgyEy-37Q,ChatGPT crie o James 🍎🍌,chatgpt #inteligenciaartificial #chatgpt4 #aiart.,Verner,512506,0,0,239
lGSGTrn5INA,2023-02-05T15:00:35Z,UC0QHWhjbe5fGJEPz3sVb6nw,Asking ChatGPT Tough Medical Questions,Exclusive! Grab the NordVPN deal ➼ https://nordvpn.com/doctormike. Try it risk-free now with a 30-day money-back guarantee!,Doctor Mike,1873994,83809,0,2575
25rbK0vb0MM,2024-02-09T00:36:57Z,UCDOsHKYY0B3xhKjWRM1qHDA,Câu chuyện cô Tư ăn mì cay #cauchuyen #chatgpt #chatgpt4 #vuive #ai #hàihước #côtư #mìcay,,Vô tri cùng với AI,3110271,80658,0,779
qPBx5MrY6f0,2024-01-22T21:32:45Z,UCregwQOoquesG98JzdyzTEg,Porque????? #sabonete #chatgpt #inteligenciaartificial,,Mendesxz AI,453179,40310,0,527
MIdv9ku1TfU,2022-12-20T17:53:34Z,UCMo28ATCDU0Kn9dpilAF79Q,Did ChatGPT Become Useless Already?!,Shorts Hmm. That was fast...,Simon Høiberg,1918873,77293,0,3117
LzZA2uCta3A,2024-01-27T08:15:32Z,UCH_eu1lvvxpgoFc2lVruhkQ,Girls of different ages cry #ai #aiart #chatgpt,,Neemulify,2916424,145844,0,1533
nAIp-WU0TGM,2024-02-03T00:48:32Z,UCDOsHKYY0B3xhKjWRM1qHDA,Bà tám dọn dẹp nhà cửa đón tết #cauchuyen #chatgpt #chatgpt4 #vuive #ai #hàihước #batam,,Vô tri cùng với AI,310801,14565,0,129
v573IfyMJl8,2024-01-05T11:00:48Z,UC0GMAEu65NLi76WSAAoGmCA,Come on chatgpt... you can do better than this!,,Whoopee Winks,114215,0,0,38
qFKhjJWA17A,2023-05-11T11:09:19Z,UC4EacBmPcZXvr02g78hddUA,ChatGPT क्या है समझो ? #chatgpt #shorts,ChatGPT क्या है समझो ? By Sandeep Maheshwari show | Motivational video | Hindi | Sandeep MH Shorts Full video ...,Sandeep MH Shorts,843699,53236,0,215
t0x6WNItdX4,2023-04-12T04:30:22Z,UCu6eDhSb-UJq7_vLgKe4vHw,I DEFEATED ChatGPT !!! #shorts,I DEFEATED CHAT GPT #shorts.,Agnit Shorts,8076377,641951,0,2941
LYiTHzyP-Xw,2023-03-13T11:00:30Z,UCY6N8zZhs2V7gNTUxPuKWoQ,ChatGPT AI Can Do Your ASSIGNMENTS! 👀 | Ishan Sharma #shorts,MUST WATCH For Students ChatGPT AI Can Do Your ASSIGNMENTS! | Ishan Sharma #shorts Instagram: ...,Ishan Sharma,509468,44504,0,151
t0x6WNItdX4,2023-04-12T04:30:22Z,UCu6eDhSb-UJq7_vLgKe4vHw,I DEFEATED ChatGPT !!! #shorts,I DEFEATED CHAT GPT #shorts.,Agnit Shorts,8076377,641951,0,2941
LYiTHzyP-Xw,2023-03-13T11:00:30Z,UCY6N8zZhs2V7gNTUxPuKWoQ,ChatGPT AI Can Do Your ASSIGNMENTS! 👀 | Ishan Sharma #shorts,MUST WATCH For Students ChatGPT AI Can Do Your ASSIGNMENTS! | Ishan Sharma #shorts Instagram: ...,Ishan Sharma,509468,44504,0,151
rpv4O_g04x0,2024-01-26T15:38:21Z,UCregwQOoquesG98JzdyzTEg,POBRE LAPIS 🙀 #lapis #escola #chatgpt #inteligenciaartificial,,Mendesxz AI,963972,79505,0,759
Hrv4UP3wBRg,2023-02-28T16:38:00Z,UCQHX6ViZmPsWiYSFAyS0a3Q,I Made ChatGPT Cry,Get My Chess Courses: https://www.chessly.com/ ➡️ Get my best-selling chess book: https://geni.us/gothamchess ➡️ My book ...,GothamChess,1506873,75619,0,3456
Sa9pEKFCaLs,2024-01-18T19:00:50Z,UCXCXPY17AXTcs-Os_in3R9A,CHAT GPT E O JOGADOR DE FREE FIRE #chatgpt #chatgpt4 #inteligenciaartificial #storytelling #shorts,,IdéIAs AleatorIAs,1785184,190690,0,1986
ksfCRSiqSiA,2023-05-04T16:01:16Z,UCFgBYlz5LwymPSWBX-G6hBA,Der böse Zwilling von ChatGPT,Unter https://anyfin.info/2bg könnt ihr euch die Anyfin-App runterladen. Mit dem Code “2BG” gibt es 20€ Abzug vom eingereichten ...,2 Bored Guys,396132,26349,0,810
eqGEwKa48q4,2023-04-14T13:00:34Z,UCAHbgYZRQcVa-NKXA3eyx2Q,موقع يضرب شات جي بي تي وكل مواقع ال AI 🤯 | بديل ChatGPT و بوتات الديسكورد بالعربي ومجانا 😍‼,الذكاء_الاصطناعي #شات_جي_بي_تي #chatgpt arabygpt araby ai اكتر بديل لشات جي بيبي مجاني برنامج بيعمل كل حاجة بالذكاء ...,I-TECH آي تك,156635,11103,0,219
