spokesperson,date,media,question,answer
 Lin Jian,04/09/25,EFE," Spanish Prime Minister Pedro Sánchez is visiting China amid an ongoing trade war between Beijing and Washington. What role does China believe Spain and the EU can play in mitigating the effects of this tension, or even in strengthening economic ties with Asia?","Lin Jian: Premier Li Qiang and President of the European Commission Ursula von der Leyen had a telephone conversation yesterday, sending a positive message to the world. Both China and the EU are advocates of economic globalization and trade liberalization, and firm defenders and supporters of the WTO. The two sides need to jointly safeguard free and open trade and investment, keep the global industrial and supply chains stable and unimpeded, and provide more stability and certainty to the economy of both sides and the world.Spain is an important economy in the EU. It is also an important cooperation partner of China in the EU. A China-Spain relationship enjoying strategic stability and committed to open cooperation and mutual benefit is conducive to the improvement and growth of China-EU relations."
 Lin Jian,04/09/25,AFP, President Zelenskyy has said that Ukraine has evidence that “many more Chinese citizens” are fighting alongside Russian forces in Ukraine. Does China know how many of its citizens may be helping Russia in its invasion and have Ukrainian officials previously raised this issue with the Chinese side?,"Lin Jian: Such claim has no basis in facts. China’s position on the issue of the Ukraine crisis is very clear and is widely recognized by the international community. The Ukrainian side needs to view correctly China’s effort and constructive role for the political settlement of the Ukraine crisis. As to your question on whether the two sides have communicated with each other, I have no information to offer on that."
 Lin Jian,04/09/25,AFP, I have another question with regard to China’s position on Ukraine. The Ukrainian Foreign Minister Andrii Sybiha has said that the capture of two purportedly Chinese soldiers “puts into question China’s declared stance for peace and undermines Beijing’s credibility as a responsible permanent member of the UN Security Council.” Does China agree that this incident contradicts its statements on finding a peaceful resolution to the conflict?,"Lin Jian: Like I said, China has all along upheld an objective and fair position on the issue of the Ukraine crisis. This is very clear. And China has been committed to ending the conflict and promoting talks for peace, which is clear to the international community. The Ukrainian side needs to view correctly China’s effort and constructive role for the political settlement of the Ukraine crisis."
 Lin Jian,04/09/25,Reuters, Sources tell Reuters that the Trump administration is considering softening its proposed fees on China-linked ships visiting U.S. ports after a flood of negative feedback from industries that said the idea could be economically devastating. U.S. Trade Representative Jamieson Greer told the U.S. Senate Finance Committee on Tuesday that not all of the agency’s proposed multimillion-dollar fees for Chinese built ships to dock at U.S. ports will be implemented. What is the Foreign Ministry’s comment on this softening of a policy that would affect Chinese vessels visiting U.S. ports?,"Lin Jian: We’ve stated our position on relevant questions. Imposing port fees and levying tariffs on cargo handling facilities hurt the U.S. itself as well as others. They will not only push up global maritime shipping costs and destabilize global industrial and supply chains, but also increase inflationary pressure in the U.S. and hurt the interests of American consumers and businesses. The practice will ultimately fail to revitalize the U.S. shipbuilding industry. We urge the U.S. to respect facts and multilateral rules, and stop its wrongdoings at once. China will do what is necessary to defend its lawful rights and interests."
 Lin Jian,04/09/25,Reuters," The U.S. National Counterintelligence and Security Center warned on Tuesday that Chinese intelligence is using deceptive methods to target current and former U.S. government employees for recruitment, including by “posing as consulting firms, corporate head hunters, think tanks and other entities on social and professional networking sites.” What is the Foreign Ministry’s response to this warning?","Lin Jian: I’m not familiar with what you mentioned. Let me point out that the U.S. has never stopped its espionage activities against China. It has also long been conducting massive surveillance and secret theft against its allies. The U.S. on the one hand blatantly carries out spying activities worldwide, yet on the other hand makes unwarranted accusation of spying threat against other countries. China firmly opposes this irresponsible move. "
 Lin Jian,04/08/25,CRI," On your announcement about Spanish Prime Minister Sánchez’s upcoming visit to China, could you share the arrangements for this visit? We noted that this will be Prime Minister Sánchez’s second visit to China in less than a year. How do you comment on the highly frequent high-level interactions between China and Spain?","Lin Jian: This visit marks Prime Minister Sánchez’s third trip to China within three years. During the visit, President Xi Jinping will meet with him, and Premier Li Qiang will hold talks with him.Spain is an important cooperative partner for China within the EU. The two sides have always adhered to the principles of mutual respect, mutual trust, and mutual benefit. Our bilateral relations are at the forefront of China’s ties with European countries. This year marks the 20th anniversary of the China-Spain comprehensive strategic partnership. China hopes to take this visit as an opportunity to deepen strategic mutual trust between the two sides, expand open cooperation, jointly address global challenges, and achieve new progress for the China-Spain comprehensive strategic partnership from a new starting point."
 Lin Jian,04/08/25,Anadolu Agency, U.S. President Donald Trump threatens China with additional 50 percent tariffs unless China cancels its retaliatory tariffs against the U.S. until April 8. What is China’s comment?,"Lin Jian: America’s abuse of tariffs severely infringes on the legitimate rights and interests of other countries, violates the WTO rules, undermines the rules-based multilateral trading system, and impact the stability of the global economic order. It’s a typical move of unilateralism, protectionism and economic bullying, which is widely opposed by the international community. China deplores and rejects it.Let me stress once again that trade and tariff wars have no winners, and protectionism leads nowhere. We Chinese are not troublemakers, but we will not flinch when trouble comes our way. Intimidation, threat and blackmail are not the right way to engage with China. China will take necessary measures to firmly safeguard its legitimate and lawful rights and interests. If the U.S. decides not to care about the interests of the U.S. itself, China and the rest of the world, and is determined to fight a tariff and trade war, China’s response will continue to the end."
 Lin Jian,04/08/25,China News Service," Recently, a think tank article stated that China and ASEAN are emerging centers of growing influence in East Asia. ASEAN-China relations are predicated on mutual and complementary needs, as exemplified by their vigorous and steadily growing trade relationship. These relations are sustained by common values. ASEAN-China relations are of vital importance not only for Asia but also the international community. Observers note that China-ASEAN cooperation is an exemplary model for China’s relations with neighboring countries. How do you view China’s cooperation with ASEAN and interactions with its neighboring countries?","Lin Jian: Over the 30-plus years since establishing dialogue relations, China and ASEAN have enjoyed steadfast, steady and robust cooperation, setting a model with the most dynamic and fruitful cooperation in the Asia-Pacific region and the world. For five consecutive years, China and ASEAN have been each other’s largest trading partners. In 2024, bilateral trade reached RMB 6.99 trillion, and the upgraded protocol for the China-ASEAN Free Trade Area Agreement 3.0 is expected to be signed within the year. Landmark projects such as the China-Laos Railway and Hanoi Metro Line 2 in Viet Nam have delivered tangible benefits to local communities. Digital empowerment and green development have become emerging areas where China supports ASEAN countries’ economic transition.  The China-ASEAN relations are a vivid illustration of China’s commitment to the principle of amity, sincerity, mutual benefit and inclusiveness in neighborhood diplomacy and a good-neighborly and friendly policy. The political mutual trust and convergence of interest between China and its neighbors have continued to deepen. China has reached common understandings with 17 neighboring countries on the building of a community with a shared future, signed an agreement on the Belt and Road cooperation with 25 neighboring countries and become the top trading partner of 18 countries in its neighborhood. Solid progress has been made in advancing major landmark projects of high-quality BRI cooperation. Small and smart livelihood projects have delivered tangibly for more people in China’s neighboring countries. Regional cooperation mechanisms including East Asian cooperation, the Lancang-Mekong cooperation, the China-Central Asia cooperation and the Shanghai Cooperation Organization have vigorously boosted the process of regional economic integration.We believe that harmony is key to a prosperous family in all endeavors. As a member of the Asian family, China will continue to treat its neighbors with friendliness and sincerity and jointly pursue reciprocity, mutual benefit, openness and inclusiveness, be rooted in and contribute to its neighborhood, ensure that more Asian people will benefit from the principle of amity, sincerity, mutual benefit and inclusiveness and inject more stability into and bring more hopes for the world with an Asian community with a shared future."
 Lin Jian,04/08/25,AFP, I wanted to return to the threats by President Trump that he might impose a further 50 percent tariff against Chinese imports. China already said in response that it would resolutely take countermeasures to safeguard Chinese rights and interests. Can the Foreign Ministry give any specific details about what those kinds of measures might look like in practice?,"Lin Jian: We will not let anyone take away the Chinese people’s legitimate right to development. We will not tolerate any attempt to harm China’s sovereignty, security and development interests. We will continue to take resolute and strong measures to safeguard our legitimate rights and interests."
 Lin Jian,04/08/25,Bloomberg, This afternoon we saw several influential Chinese bloggers post an identical set of measures that authorities are mulling to hit back at the latest tariff threats from Trump. These include levies on U.S. farm goods and a ban on Hollywood movies. There were four other items listed. Are these actual responses the government is considering? Is this a coordinated attempt to inform the public about China’s response?,Lin Jian: We don’t comment on what’s been said on the Internet. I just made clear China’s position. We will continue to take resolute measures to safeguard our legitimate and lawful rights and interests.
 Lin Jian,04/08/25,AFP, The U.S. and Iran have announced talks over the nature of Iran’s nuclear program. I’m wondering if the Chinese side has any response to that development?,"Lin Jian: We noted relevant reports. China all along believes that the only right choice for settling the issue is through political and diplomatic means.Against the current backdrop, it’s all the more important for parties to the Iranian nuclear issue to work in the same direction, strengthen dialogue and engagement, and avoid any escalation. As the country which unilaterally withdrew from the Joint Comprehensive Plan of Action and caused the current situation, the U.S. needs to show political sincerity, act in the spirit of mutual respect, engage in dialogue and consultation, and stop the threat of force and maximum pressure.China will continue to maintain communication with relevant parties, actively promote talks for peace, and help relevant parties reach as early as possible a diplomatic settlement to the Iranian nuclear issue that accommodates all parties’ legitimate concerns so as to uphold the international non-proliferation regime and keep the Middle East peaceful and stable."
 Lin Jian,04/08/25,NBC," With all of the threats and counter threats and measures being taken between the U.S. and China on tariffs, can you confirm are there any talks or negotiations happening at any level between the United States and China over trade?","Lin Jian: Judging from its actions, the U.S. doesn’t seem to be serious about having talks right now. If the U.S. truly wants to talk, it should let people see that they’re ready to treat others with equality, respect and mutual benefit. If the U.S. decides not to care about the interests of the U.S. itself, China and the rest of the world, and is determined to fight a tariff and trade war, China’s response will continue to the end."
 Lin Jian,04/08/25,Beijing Daily," It’s reported that Mauricio Claver-Carone, U.S. State Department’s Special Envoy for Latin America, said in a recent interview that China has used its currency swap with Argentina to extort the country, and the U.S. wants Argentina to end it. He said the U.S. wants to be sure that Argentina’s potential agreements with the IMF do not end up prolonging that credit line or swap that they have with China or strengthen China’s position with that credit line. What’s China’s comment?","Lin Jian: China has all along conducted practical cooperation with Argentina in various fields on the basis of equality and mutual benefit. For a long time, Argentina’s currency swap with China has played an important role in stabilizing its economy and finance, which is welcomed and well received in Argentina.China’s bilateral cooperation with relevant countries never targets any third party, nor should it be interfered by any third party. Fair-minded people are able to tell who is extorting and coercing others and making trouble. We call on the U.S. to get its perspective right and make more tangible contributions to the development of Latin American and Caribbean countries, rather than make an effort to drive a wedge."
 Lin Jian,04/08/25,TASS," The spokesperson of the Iranian Foreign Ministry said that from April 7 to 8, China, Russia and Iran will have trilateral consultations on the Iranian nuclear issue in Moscow. What’s the Foreign Ministry’s comment?","Lin Jian: Let me reiterate that China firmly believes that the only right choice for settling the issue is through political and diplomatic means. We support Russia in hosting this trilateral expert-level consultation, which will further promote the political and diplomatic settlement of the Iranian nuclear issue.China will continue to have communication and coordination with relevant parties, and facilitate the settlement to the Iranian nuclear issue that accommodates all parties’ legitimate concerns so as to uphold the international non-proliferation regime and keep the Middle East peaceful and stable. "
 Lin Jian,04/08/25,Shenzhen TV," Speaking in an interview on Trump administration’s trade policy on China, Vice President JD Vance said the U.S. borrows money from Chinese peasants to buy the things those Chinese peasants manufacture. What’s China’s comment?",Lin Jian: China has made its position perfectly clear on its trade relations with the U.S. To hear words that lack knowledge and respect like those uttered by this Vice President is both surprising and kind of lamentable.
 Lin Jian,04/07/25,CCTV," The U.S. recently announced tariff hikes on all trading partners, covering over 180 countries and regions in the world, including some vulnerable economies designated as the least developed countries by the UN. Comments say that the high tariffs will deal an unprecedented heavy blow to poor countries that have simple economic structure and are highly reliant on export. Spokesman for the UN Secretary-General Stéphane Dujarric warned that the trade war will adversely affect implementation of Sustainable Development Goals, and the concern right now is with the most vulnerable countries, which are the least equipped to deal with the current situation. WTO Director-General Ngozi Okonjo-Iweala noted that the U.S. tariffs could lead to an overall contraction of around 1 percent in global merchandise trade volumes this year and will have substantial implications for global trade and economic growth prospects. What is your comment?","Lin Jian: The U.S. hegemonic move in the name of “reciprocity” serves its selfish interests at the expense of other countries’ legitimate interests and puts “America first” over international rules. This is a typical move of unilateralism, protectionism and economic bullying. China has issued the Chinese Government’s Position on Opposing U.S. Abuse of Tariffs to express our serious and just attitude.The U.S. abuse of tariffs deprives countries, especially Global South countries, of their right to development. Analysis of WTO data shows that in light of the uneven economic development and strengths, the U.S. tariff hikes will further widen the wealth gap among countries and less developed countries will feel a heavier blow. This gravely hurts the effort for realizing the UN 2030 Agenda for Sustainable Development. The U.S. tariffs with differentiated rates violate the WTO principle of non-discrimination, severely disrupt the international trade order and the security and stability of the global industrial and supply chains, severely undermine the multilateral trading system, severely hinder global economic recovery, and will certainly be rejected by the international community.Open cooperation represents the trend of history and mutual benefit is what the people want. Development is a universal right of all countries, not an exclusive privilege of a few. Countries need to uphold the principles of extensive consultation, joint contribution and shared benefit, remain committed to true multilateralism, jointly oppose unilateralism and protectionism of all forms, safeguard the international order with the UN at its core, and uphold the multilateral trading system with the WTO at its center."
 Lin Jian,04/07/25,Yonhap News Agency, The constitutional court of the ROK decided on April 4 to uphold President Yoon Suk Yeol’s impeachment. How does China view the decision? How do you think the decision will affect ROK-China relations?,"Lin Jian: We noted the ruling and relevant decision. This is the domestic affair of the ROK. We hope the ROK will advance its domestic political agenda in an orderly manner and keep the political situation and society stable.China and the ROK will always be close neighbors and we are inseparable cooperation partners. China’s policy on the ROK maintains continuity, stability and certainty. We stand ready to work with the ROK to cherish the commitment made when establishing diplomatic ties, uphold good neighborliness and the friendly ties, work for mutual benefit, and promote the sound and steady development of the strategic cooperative partnership."
 Lin Jian,04/07/25,Global Times," According to reports, Chinese experts conducted another independent sample collection for the nuclear-contaminated water from the Fukushima Daiichi nuclear power station in February, and the test result has been obtained. Could you share more information?","Lin Jian: According to what we learned from relevant authorities, Chinese research institutions have completed tests and analysis of China’s independent sampling in February this year, including that of seawater and marine life in the nearby waters of the Fukushima Daiichi nuclear power station. No abnormality was seen in the activity concentration of radionuclides including tritium, caesium-134, caesium-137 and strontium-90. Later on, these relevant test data will be submitted to the IAEA for information gathering and release.Like we stressed repeatedly, no abnormality in one single test doesn’t mean any test result will be normal in the future. During the recent China-Japan High-Level Economic Dialogue, the Japanese side reiterated that it accepts long-term international monitoring and independent sampling and monitoring by China and confirmed that the above-mentioned monitoring activities will be carried out on a continuous basis. China’s opposition to Japan’s discharge of the nuclear-contaminated water has never changed. We will continue to work with the international community and professional agencies including the IAEA to urge Japan to honor its commitments and ensure that the discharge of Fukushima nuclear-contaminated water always remains under international oversight."
 Lin Jian,04/07/25,CNBC, We noticed that the latest statement from China on the U.S. tariffs did not mention much about negotiations and we were wondering under what conditions would China be able to negotiate with the U.S. and will Chinese and U.S. presidents speak soon to do so or has it become more challenging?,"Lin Jian: On negotiations, I’d refer you to competent authorities. We have stressed more than once that pressuring or threatening China is not a right way to engage with us. China will firmly safeguard its legitimate rights and interests."
 Lin Jian,04/07/25,Anadolu Agency," I want to follow up with question about U.S. tariffs. Experts noticed that the formula that was used by the Trump administration to calculate the tariff rates was simply dividing U.S. trade deficit to that country by a country’s exports to the U.S. So it wasn’t related with the real tariff rates at all. China isn’t actually deploying 67 percent tariffs to the U.S. They call it effective tariff rates, claiming currency manipulation and other trade barriers are also added up in the calculation, while in fact not. What do you think about this method of calculation? So U.S. tariff policy, this new policy of the Trump administration, seems like an action against the logic of international trade for the past 40 years and a trend of economic globalization. So do you think this is a declaration of a new global economic order by the U.S.? Does China plan any new action or cooperation that will minimize or nullify the effects of these tariff hikes by U.S.?","Lin Jian: I think what you said represents the right view and position of the international community and people with vision. The Chinese government has stated its just position on the U.S. abuse of tariffs. The U.S.’s tariff hikes on all trading partners, including China, under various pretexts seriously infringe upon the legitimate rights and interests of countries, violate WTO rules, undermine the rules-based multilateral trading system and destabilize the global economic order. The Chinese government strongly deplores and firmly rejects this. What the U.S. has done is a typical move of unilateralism, protectionism and economic bullying. It will hurt the U.S. itself as well as others.The vast majority of countries in the world that uphold fairness and justice will choose to stand on the right side of history, make choices that are in line with their own interests, and jointly oppose all forms of unilateralism, protectionism, and economic bullying. China is also willing to work with all parties to uphold true multilateralism, jointly safeguard the multilateral trading system with the WTO at its core, and defend international fairness and justice."
 Lin Jian,04/07/25,Reuters," This is about Kenya’s debt restructuring. Kenya’s finance ministry released a statement last week which has since been withdrawn, saying China had said it would be willing to facilitate a debt restructuring for Kenya after its finance minister visited Beijing. Could the Foreign Ministry confirm this?","Lin Jian: Over the years, China’s investment and financing cooperation with Kenya has boosted Kenya’s socioeconomic development and improved people’s livelihood. China stands to continue to promote development cooperation with Kenya and other African countries based on the principle of mutual benefit."
 Lin Jian,04/07/25,AFP, The National Security Council of the Philippines said over the weekend that the supposed confessions of three Filipinos arrested by China for alleged espionage appeared to have been scripted and they urged Beijing to respect their rights. Does the Foreign Ministry have any comment?,"Lin Jian: Competent authorities have released detailed information on the espionage activities conducted by the Philippine nationals in China. China’s judicial and relevant authorities handle the case based on facts and in strict accordance with the law, and will protect the lawful rights and interests of the personnel involved.Recently the Philippines concocted a series of so-called Chinese spy cases. This is a typical act of stigmatization and politicization based on presumption of guilt in the absence of clear evidence. We firmly oppose that, and have lodged protests against the Philippines more than once. China urges the Philippines to stop shadow-chasing and making false accusations, handle the cases concerning Chinese citizens in a just manner and in accordance with law, and effectively protect the lawful rights and interests of Chinese citizens in the Philippines."
 Lin Jian,04/07/25,NHK," A follow-up on the Fukushima nuclear-contaminated water. As we understand, when meeting with Japan-China friendship groups in Tokyo in March, Director Wang Yi suggested that if no problem turns up in this latest test result, it will likely lead to progress on this issue. Is China willing to speed up talks with Japan on the resumption of imports of Japanese aquatic products?","Lin Jian: The Chinese government always puts people first and firmly safeguards the food safety of our people. The Japanese made a clear commitment of accepting long-term international monitoring and independent sampling and monitoring by China. On the basis of Japan’s fulfillment of its commitments and no abnormality in the test results, on March 12 as scheduled, China’s General Administration of Customs held a technical exchange with the Japanese side in Beijing on the safety of Japanese aquatic products."
 Lin Jian,04/07/25,Bloomberg, President Donald Trump has said that China’s objections to the new tariffs stalled the deal to sell up TikTok and keep it operating in the U.S. Did China’s objections prevent a deal from being concluded recently and would the Ministry like to comment any further on the TikTok issue?,"Lin Jian: We have stated our principled position on TikTok on multiple occasions. China will handle relevant issue in accordance with China’s laws and regulations.The U.S. needs to provide an open, fair, just and non-discriminatory environment for Chinese businesses in the country."
 Lin Jian,04/07/25,AFP, Australian Prime Minister Anthony Albanese and his election rival Peter Dutton have both called for the sale of the port of Darwin which is controlled by a Chinese firm to remove it from Chinese ownership. Does the Foreign Ministry have any comment on that?,"Lin Jian: We urge the Australian side to provide a fair, non-discriminatory and predictable business environment for Chinese enterprises investing and operating in Australia, and refrain from overstretching the concept of national security or politicizing normal business cooperation."
 Lin Jian,04/07/25,Ukrinform News Agency," Last Friday, Russian troops fired a ballistic missile with cluster munitions at Ukrainian city Kryvyi Rih. Twenty people were killed, and almost 100 others were injured. Russian military continues to attack Ukrainian cities, including the capital Kyiv city, despite Moscow’s statements about its readiness for peace talks and a ceasefire. Can the Ministry of Foreign Affairs comment on this situation?",Lin Jian: China’s position on the Ukraine crisis is consistent and clear. Dialogue and negotiation is the only viable way out the crisis.
 Lin Jian,04/07/25,Bloomberg, A delegation led by Taiwanese national security adviser Joseph Wu was just in Washington to meet with the Trump administration for a special channel meeting. Would the Foreign Ministry like to comment?,"Lin Jian: There is but one China in the world, and Taiwan is an inalienable part of China’s territory. China firmly opposes any official interaction between the U.S. and Taiwan in any form. This position is consistent and clear. We made protest to the U.S. side and call on the U.S. to abide by the one-China principle and the three China-U.S. joint communiqués, stop any official interaction with China’s Taiwan region, stop meddling in the Taiwan question, and stop creating factors that fuel tensions in the Taiwan Strait. The Lai Ching-te authorities’ attempts to solicit U.S. support for “Taiwan independence” will lead nowhere."
 Lin Jian,04/07/25,Reuters," Ethiopia has reached an agreement in principle with its official creditors on restructuring US$8.4 billion of debt. As China is the biggest bilateral creditor, does that mean China has agreed to take a haircut or does the agreement constitute an extension of maturities rather than write-downs of the principal amount?","Lin Jian: I’d refer you to competent authorities for anything specific. Let me stress that China and Ethiopia are all-weather strategic partners. China maintains close communication with Ethiopia on the debt issue and will continue to play its role as the co-chair of the creditor committee for Ethiopia under the Common Framework, facilitate the appropriate and ultimate settlement of Ethiopia’s multilateral debt, and help the country ease its fiscal distress."
 Guo Jiakun,04/03/25,CCTV," On April 2 EST, the U.S. issued an executive order announcing that it will impose ""reciprocal tariffs"" on its major trading partners, including 34-percent tariffs on China (including Hong Kong and Macau). What’s China’s comment?","Guo Jiakun: The U.S. announced tariff hikes on imports from many countries, including China, under the pretext of reciprocity. This gravely violates WTO rules, and undermines the rules-based multilateral trading system. China firmly rejects this and will do what is necessary to defend our legitimate rights and interests.We have emphasized more than once that trade and tariff wars have no winners. Protectionism leads nowhere. We urge the U.S. to stop doing the wrong thing, and resolve trade differences with China and other countries through consultation with equality, respect and mutual benefit."
 Guo Jiakun,04/03/25,CNR," We noted that the National Computer Virus Emergency Response Center and the National Engineering Laboratory for Computer Virus Prevention Technology issued the Cyber Threat Report of The 9th Asian Winter Games Harbin 2025 today, which disclosed cyber attacks from countries, including the U.S., on the information systems of the Asian Winter Games and critical infrastructures in Heilongjiang, and it is highly suspected that these attacks were related to the U.S. government. What is your comment on this?","Guo Jiakun: We noted the report and express grave concern over the malicious cyber activities disclosed by the report. The report shows once again that China is one of the major victims of cyber attacks globally, and the U.S. and its individual allies are the main source of cyber attacks targeting China during the 2025 Asian Winter Games.China urges the U.S. to adopt a responsible attitude and take a harder look at itself, rather than vilifying others. China will continue to do what is necessary to protect its cyber security."
 Guo Jiakun,04/03/25,Beijing Daily," It’s reported that during a press conference on April 1, in response to China’s joint exercises around Taiwan Island, Japan’s Chief Cabinet Secretary Yoshimasa Hayashi said that the Japanese government has major concerns and is closely following the relevant situation. Japan has expressed its concerns to China through diplomatic channels. What’s China’s comment?","Guo Jiakun: Japan’s words and actions blatantly violate the one-China principle. We strongly deplore and firmly oppose that, and have lodged serious protests with Japan. China’s joint exercises are aimed at warning and containing “Taiwan independence” separatist forces, and it is a legitimate and necessary action to defend China’s national sovereignty and uphold national unity. Japan has no right to point fingers at this, still less interfere with it. Taiwan is an inalienable part of China’s territory. The Taiwan question is at the core of China’s core interests, and bears on the political foundation of China-Japan relations and basic trust between the two countries. Japan committed innumerable crimes during its colonial rule over Taiwan of more than 50 years, and bears serious historical responsibilities to the Chinese people. It should act all the more prudently. This year marks the 80th anniversary of the victory in the Chinese People’s War of Resistance Against Japanese Aggression and the World Anti-fascist War. We urge Japan to deeply reflect on history, uphold the principles in the four political documents between China and Japan and honor its solemn commitments on the Taiwan question, immediately stop interfering in China’s internal affairs, and abide by the one-China principle with concrete actions."
 Guo Jiakun,04/03/25,Bloomberg, China has said that it has detained three Filipino nationals suspected of spying. The Ministry of State Security said that it recently discovered an espionage case and this is according to Xinhua. Can the Foreign Ministry confirm the detention of three Filipino nationals on spying charges and also perhaps give a little bit more detail? ,"Guo Jiakun: Competent authorities have released detailed information on the espionage activities conducted by the Philippine nationals in China. China’s judicial and relevant authorities will strictly handle the case in accordance with law, and protect the lawful rights and interests of the personnel involved.Recently the Philippines concocted a series of so-called Chinese spy cases. This is a typical act of stigmatization and politicization based on presumption of guilt in the absence of clear evidence. We firmly oppose that, and have lodged protests against the Philippines more than once. China urges the Philippines to stop shadow-chasing and making false accusations, handle the cases concerning Chinese citizens in a just manner and in accordance with law, and effectively protect the lawful rights and interests of Chinese citizens in the Philippines."
 Guo Jiakun,04/03/25,Dragon TV," During his recent trip to the Caribbean, U.S. Secretary of State Marco Rubio said that “we almost all had concussions” because the road built by the Chinese in Guyana was so bad, adding that he hoped the U.S. will provide alternatives to that for countries there. Do you have any comment?","Guo Jiakun: According to what I learned, the road project the U.S. side referred to was not built by any Chinese companies and the Guyanese side has made clarifications on that. I wonder why Mr. Secretary of State told falsehoods like this. They’d better do something tangible and deliver for countries in the region rather than vilify China and sow discord by distorting the facts. "
 Guo Jiakun,04/03/25,Bloomberg," On the tariff issue. Can you elaborate a little bit? Does China plan to negotiate with the U.S. side ahead of April 9? Is there a possibility to negotiate on the tariffs? With the latest actions, do you consider China to be the top target of President Trump under this tariff situation? Just one last point, if you will, do you see this as an opportunity in some way to come together with other blocs, whether it be ASEAN or EU, to try to perhaps discuss a common approach to U.S. tariffs?","Guo Jiakun: As I just said, trade wars and tariff wars have no winners, and protectionism will lead nowhere. The U.S. needs to correct its wrongdoings and resolve trade disputes with countries, including China, through consultation with equality, respect and mutual benefit.Let me stress that the U.S.’s unilateral tariff hikes violate WTO rules, undermine the common interests of people of all countries, and do no help to solve its own problem. It is clear that more and more countries have come to stand against the U.S.’s tariff hikes and other unilateral bullying moves."
 Guo Jiakun,04/03/25,Reuters," The U.S. government has banned government personnel based in China from having romantic relationships with Chinese citizens, according to a report from the Associated Press. Do you have any comment on that?","Guo Jiakun: The U.S. is in a better position to answer this question.＊＊＊＊＊＊＊＊＊＊In observance of the Qingming Festival (Tomb-Sweeping Day), our press conference will be in recess on April 4 (Friday) and resume on April 7 (Monday). During the recess, you may still reach the MFA Spokesperson’s Office via fax, email and WeChat."
 Guo Jiakun,04/02/25,CCTV," It’s reported that the U.S., EU, Japan and some others made remarks on the joint exercises around Taiwan Island conducted by the People’s Liberation Army on April 1. They oppose unilateral changes to the status quo, including through force or coercion, and said that there is no justification for China’s irresponsible threats and military pressure operations near Taiwan. What’s China’s comment?","Guo Jiakun: The accusation of a handful of countries and organizations against China is a mischaracterization of the facts and truth and an interference in China’s internal affairs. China deplores and opposes this. The Taiwan question is purely China’s internal affairs that brook no external interference. “Taiwan independence” separatist activities and external forces that abet and aid them are the ones that undermine peace and stability across the Taiwan Strait. If certain countries and organizations truly want peace and stability across the Taiwan Strait, they should follow the prevailing trend of international commitment to the one-China principle, abide by their political commitments made to China, earnestly respect China’s sovereignty and territorial integrity, and oppose “Taiwan independence” in any form.Moves to clamor for “Taiwan independence” mean separating China, support for “Taiwan independence” means interference in China’s internal affairs, and attempts to abet “Taiwan independence” mean destabilizing the Taiwan Strait. China’s joint exercises is a severe punishment against the Lai Ching-te authorities’ aggressive provocation to seek “Taiwan independence,” a stern warning to “Taiwan independence” separatist forces who deliberately undermine peace across the Taiwan Strait, and a responsible move to defend national sovereignty, security and territorial integrity. No external force is in any position to point fingers at this.As long as provocations for “Taiwan independence” last, our punishment against “Taiwan independence” will continue. We will never ever allow anyone or any force to separate Taiwan from China in any form. We will take all measures necessary to firmly safeguard national sovereignty and territorial integrity."
 Guo Jiakun,04/02/25,Bloomberg," Regarding reports that soldiers in Myanmar opened fire on a convoy of vehicles carrying relief supplies for the Chinese Red Cross. These were made for earthquake victims in Mandalay. Can the Foreign Ministry confirm if this is accurate and, if so, provide some further details?","Guo Jiakun: China and Myanmar are neighbors that share “pauk-phaw” friendship. Immediately after Myanmar was hit by the earthquake, China launched an emergency response with an all-out search and rescue operation. The relief supplies provided by the Red Cross Society of China have already arrived in Myanmar and are being transported to disaster-stricken areas in Mandalay. The rescue team and relief supplies are safe at present.Saving lives is the top priority. It is imperative for us to do everything we can to respond to the disaster. China sincerely hopes that all ethnic groups and factions in Myanmar can work as one to overcome difficulties together. We strongly urge all parties in Myanmar to ensure the safety and security of rescuers and supplies from China and other countries, and keep logistics corridors fully accessible. China stands ready to do everything we can to provide relief and support to affected regions in light of the need of Myanmar."
 Guo Jiakun,04/02/25,Kyodo News," It’s reported that the ROK constitutional court will decide on April 4 whether to dismiss President Yoon Suk Yeol. Given the ongoing turbulence in the ROK and the upcoming APEC summit to be held in the ROK this fall, what impact do you think the court’s ruling will have on China-ROK diplomacy? ","Guo Jiakun: We noted the reports. As we’ve stressed more than once, China follows the principle of non-interference in other countries’ internal affairs, will not comment on the ROK’s domestic situation and believes that the ROK people have the wisdom and capability of properly handling their domestic issues. As an important neighbor and cooperation partner, China stands ready to work with the ROK to make active effort in deepening friendly cooperation and strategic cooperative partnership between the two countries. "
