text,labels
There is a connection between leprosy cases in Florida cited in a new report and the COVID-19 vaccines.,1
People who received COVID-19 vaccines can “detoxify” their bodies from the spike protein.,1
Sources within the federal government say “new lockdowns are coming.”,1
A patent held by Moderna proves its COVID mRNA vaccine contains “programmable” nanotechnology that can interact with 5G communications technology.,1
The Covid-19 virus is fake.,1
"“They had to destroy ivermectin and hydroxychloroquine and discredit it, and they had to tell everybody it’s not effective because if they had acknowledged that it’s effective … the whole $200 billion vaccine enterprise would have collapsed.""",1
The United Kingdom’s national healthcare system has stopped coronavirus vaccinations in Europe.,1
Vaccines developed for COVID-19 contain a cancer-causing virus DNA found in monkeys.,1
"""[A] higher number of COVID-19 vaccine doses received increases the risk of infection with COVID-19,"" according to a Cleveland Clinic study.",1
"COVID-19 ""is an act of biological and chemical warfare perpetrated on the human race.""",1
Israeli Ministry of Health data shows that “zero healthy people” under the age of 50 have died of COVID-19 in the country.,1
A video presentation proves that the spike protein in COVID-19 mRNA vaccines replaces the sperm in men.,1
"Almost 100,000 extra people have died of heart attacks and strokes in England because NHS care standards have collapsed since the pandemic.",1
The World Health Organization admitted that COVID-19 vaccines can lead to multiple sclerosis.,1
CDC recalled the Johnson & Johnson COVID-19 vaccine.,1
A new study found that ventilators were responsible for nearly all COVID-19 patient deaths.,1
Ivermectin is effective at treating COVID-19.,1
The highest weekly Covid deaths in the UK was 652.,1
A pre-print study found that the COVID-19 vaccines cause long-term brain damage.,1
The World Health Organisation has declared the Covid-19 pandemic over.,1
"“COVID Vaccines Were Never Safe for Pregnant Women, Pfizer’s own data show”",1
The NHS Test and Trace app cost £37 billion.,1
There is “$500 billion of unspent COVID money” that can be rescinded.,1
"#5G tower being burned down in India. I guess they are tired of being spied on, attacked with directed energy, and getting or constantly having flu like symptoms labeled as COVID/long COVID. #15mincities #smartcities #surveillancestate #socialcreditsystem #totalitarian #greatreset #Agenda2030 #Agenda21",1
A federal website shows the U.S. Department of Defense awarded a COVID-19 research contract before the coronavirus had been publicly known.,1
"""One of the greatest mysteries of COVID-19: Where did the flu go in 2020 and 2021?""",1
Switzerland ordered an immediate halt to Covid-19 vaccinations and withdrew all vaccination recommendations.,1
"""[S]tudies confirm that covid damages the immune system, making everyone who got infected immunocompromised.""",1
"Report proves that COVID-19 vaccines caused 300,000 excess deaths in 2022.",1
The UK government knew Covid-19 was a simple flu.,1
A three-year-old British boy's death is linked to Covid-19 vaccination,1
Dr. Anthony Fauci pressured virologists to change their minds on the origin of COVID-19 in exchange for a $9 million grant.,1
Australia is seeing its sharpest rise in deaths in 80 years because of the coronavirus vaccine.,1
Mullein leaves and marshmallow roots treat COVID-19,1
COVID vax linked to fivefold increase in cancer biomarker,1
Bill Gates cuts short interview after being cornered by interviewer over Covid vaccines & his work with computers,1
"U.S. hospitals are earning a $48,000 government subsidy for every patient that dies from COVID-19 in their care.",1
Russian president Vladimir Putin has “ordered the destruction of all COVID-19 vaccine stockpiles.”,1
New Zealand is seeing its biggest increase in deaths in a century because of the coronavirus vaccine.,1
"Energy Department ""confirms Covid came from a Wuhan lab leak.""",1
The World Economic Forum (WEF) has vowed to ban eggs after a study found they cure COVID-19.,1
Record mouth cancer rates are due to ethylene oxide on Covid-19 test swabs.,1
The Pfizer/BioNTech COVID-19 vaccine causes COVID-19,1
"""CDC Dep. Dir. Tom Shimabukuro Admits COVID Vaccines Are Causing ‘Debilitating Illnesses’""",1
"“12 RESEARCH STUDIES PROVE MASKS DIDN’T WORK,"" referring to a Cochrane review on mask interventions.",1
"Dr. Anthony Fauci, in a recent science paper, admits that COVID-19 vaccines don’t work.",1
Moderna CEO Stéphane Bancel admitted that the company produced 100000 COVID19 vaccines in 2019 before the pandemic began,1
The US government has admitted 5G radiation causes COVID-19.,1
The COVID-19 vaccines contain HIV.,1
"A “Sudden Cardiac Arrest Awareness Form” is now being issued in Georgia high schools, suggesting a new phenomenon relating to the COVID-19 vaccines.",1
Malaysia mandating second Covid booster ahead of Chinese tourist influx,1
The United Kingdom is banning anyone under the age of 50 from getting COVID-19 vaccines.,1
Public health data from Australia shows people vaccinated against COVID-19 are more likely to end up in a hospital ICU with the virus than those who are unvaccinated.,1
The authorities lied about the Covid-19 death rates. Initially it was any death within 60 days of a positive test then 28 days.,1
Hardly anyone died solely of Covid-19.,1
"Two researchers found that more than 1,500 athletes have suffered cardiac arrest since COVID-19 vaccinations began, compared to a previous average of 29 athletes per year, suggesting the vaccines are causing a dramatic rise in such cardiac issues.",1
"Covid-19 cases were going up very rapidly in England when mask mandates were introduced in 2020, and the mandates brought them under control within weeks.",1
The Moderna COVID-19 vaccine has been withdrawn from Australia,1
A list and a chart showing more than a thousand 'athlete collapses and deaths' from around the world prove a connection between them and the COVID vaccine.,1
Sharing covid related message is a punishable offence.,1
Ivermectin and hydroxychloroquine were suppressed as COVID-19 treatments because the vaccines couldn’t receive emergency use authorization if such treatments were available.,1
An at-home rapid test that can detect both the coronavirus and influenza A and B is proof that COVID-19 and flu are the same disease.,1
"Covid-19 is a seasonal flu, there is no need for a lockdown, masks or social distancing.",1
"Govt warns citizens against posting anything on Covid on Whatsapp groups,",1
Camps were created for the unvaccinated during the COVID-19 pandemic.,1
"The Centers for Disease Control and Prevention quietly confirmed that at least 118,000 children and young adults have “died suddenly” in the U.S. since the COVID-19 vaccines rolled out.",1
Grant Wahl died because of the COVID-19 vaccine.,1
"Longtime sports journalist Grant Wahl, who died in Qatar last week, was killed by the COVID-19 vaccine.",1
Doctors and Pharmacists Solely Rely On Blank Page Recommendations To Administer COVID-19 mRNA Vaccines,1
Country singer Jake Flint died unexpectedly on Nov. 27 because of the COVID-19 vaccine.,1
A COVID-19 test patent application is dated 2020 but was actually filed in 2015.,1
A study proves that COVID-19 PCR tests are actually human cloning devices.,1
Covid-19 is a lie.,1
Covid vaccines are killing people.,1
The U.K. Medicines and Healthcare products Regulatory Agency (MHRA) admits in a series of email exchanges that COVID-19 is man-made and that COVID vaccines were created with computer-generated DNA.,1
"“Leaked Hospital Email Reveals Explosion of Stillbirths Following COVID Vaccine Rollout""",1
Bodybuilder Doug Brignole died from a COVID-19 vaccine.,1
Sudden Adult Death Syndrome deaths are covering up a genocide caused by the Covid-19 vaccines.,1
Scientists in Massachusetts have developed a more lethal strain of COVID-19 in a lab,1
"Pfizer admitted to the European Parliament that it had not tested the ability of its COVID-19 vaccine to prevent transmission of the virus before it entered the market, proving the company lied about this earlier in the pandemic.",1
Trudeau drops COVID Vaccine Mandate because 9 in every 10 Covid-19 Deaths have been among the Triple/Quadruple Vaccinated,1
More than 1.4 million adverse events caused by the COVID-19 vaccines have been reported to the federal database VAERS through Sept. 9.,1
"""Denmark is banning the COVID shot for anyone under the age of 50 because it is not safe.""",1
Covid-19 doesn’t really exist.,1
WHO Director-General Tedros Adhanom Ghebreyesus has not been vaccinated against COVID-19,1
Denmark has banned COVID-19 vaccines for children.,1
“New paper suggests Covid mRNA vaccination rates are linked to increases in overall deaths”,1
"""More people died of covid in 2021 than in 2020.”",1
A recent study in the New England Journal of Medicine found that unvaccinated COVID-19 patients remain contagious for less time than those who were vaccinated or had received booster shots.,1
Animal studies for COVID-19 vaccines were “stopped” because the animals were dying.,1
Post implies three Toronto doctors passed away in the same week because of the COVID-19 booster,1
"“Germany’s Ministry of Health found that 1 in 5,000 Germans have suffered ‘serious side effects after a COVID-19 vaccine.'""",1
The U.S. military found that COVID-19 vaccines for children contain the drug scopolamine.,1
Former President Donald Trump in a statement wished President Joe Biden a speedy recovery from COVID-19 and referred to his own fight against the virus as “Herculean.”,1
Shinzo Abe Killed Over Japanese COVID Policies,1
"New coronavirus variants are as contagious as the measles virus, according to a measure of infectiousness known as “R0.”",1
COVID vaccine lowers sperm count,1
A Pfizer document reveals that 82%-97% of pregnant women who received the company’s COVID-19 vaccine “lost their babies.”,1
The unvaccinated aren’t dying.,1
The chimpanzee adenovirus vector used in AstraZeneca’s COVID-19 vaccine is causing the monkeypox outbreak.,1
“they were not able to find a single healthy child in america that died from COVID-19 […] but one in every 2700 people are getting myocarditis”; “athletes are collapsing on playing fields as for myocarditis and it's from the vaccines”; Moderna patent filed in 2019 is linked to the pandemic,1
allegedly shows a U.K. government poster offering financial compensation for those who have experienced health issues after receiving the COVID-19 vaccine.,1
"To the end of 2021, there have been 6,189 Covid-19 deaths where only Covid-19 was entered on the death certificate.",1
"To the end of 2021, there have been 18,939 Covid-19 deaths with comorbidities in the UK.",1
The average age of death from Covid-19 is 82.5.,1
"To the end of 2021, there have been 156,924 deaths within 28 days of a positive Covid-19 test in the UK.",1
"COVID-19 is a synthetic version of “snake venom” that evil forces are spreading through remdesivir, the COVID-19 vaccines and drinking water to “make you a hybrid of Satan.”",1
"Covid-19 didn’t cause excess mortality, but there has been a huge uptick in the number of deaths in the middle aged and young since the start of the vaccine rollout.",1
99.972% of the UK population did not die of Covid-19.,1
"U.S. Government Secretly Paid Major Media Outlets to Promote COVID Vaccines, Suppress Negative Coverage",1
Evidence that ivermectin works to treat COVID-19 is “powerful” and “overwhelming.”,1
“COVID Deaths Have Been Vastly Overcounted”,1
Video of aircraft 'spraying Covid-19' in Indonesia,1
The Therapeutic Goods Administration overturned a ban on ivermectin as a treatment for COVID-19.,1
"If you’ve had two doses of the COVID-19 vaccine and you haven’t had a booster jab, then you have a 50/50 chance of ending up in hospital if you catch Omicron.",1
Covid-19 vaccines do not protect 5-year-olds or 12-year-olds against serious illness or death with the disease.,1
Sajid Javid said that Covid-19 deaths in the UK had been overestimated.,1
The government is using the Centers for Disease Control and Prevention to collect DNA through COVID-19 test samples,1
2012 London Olympics opening ceremony shows a giant figure of death holding a needle foreshadowing the COVID-19 pandemic.,1
At least 50% of people who survive Covid-19 have debilitating health issues in the months afterwards.,1
Qantas CEO Alan Joyce got a pie in the face over Covid-19 vaccine policy,1
Bill Gates has called for the withdrawal of all Covid-19 vaccines.,1
COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,1
American football player Donald Parham fell after his heart exploded because of the COVID-19 vaccine.,1
There was a large rise in the number of Covid deaths on 2 February 2022.,1
"As of January and February 2022, Pfizer owned Neil Young's song catalog or held sway over him and dictated his views on COVID-19 vaccination.",1
The UK has recorded five times more deaths “due to” the Covid-19 vaccines than all other vaccines over the past five years,1
"While the media talks a lot of the 150,000 deaths, perhaps they should have been talking about the number of people who died 'of Covid' not 'with Covid'. That was just 17,371 up to the end of quarter three 2021",1
Chlorine dioxide is a treatment for Covid-19,1
Meme Paints Accurate Picture Of Effectiveness Of COVID-19 Vaccines,1
Remdesivir is “continuing to kill patients in the United States” and recipients have “a less than 25% chance of survival if they get more than two doses.”,1
The Purpose Of COVID-19 Vaccines Is To 'Kill Off A Large Proportion Of The Population',1
COVID-19 PCR test instructions show a “list of the viruses that can cause a PCR test to give false positives.”,1
"Only 3,774 people under 65 have died of Covid in the UK.",1
Genuine graphic quoting Philippine vice president on COVID-19 home quarantine period,1
Italy has found a cure for COVID-19,1
Photo that shows COVID-19 test swabs labeled positive and negative proves that the tests are fixed.,1
This Spanish politician said that Cristiano Ronaldo and Lionel Messi should find the cure for coronavirus,1
Video of a suspected COVID-19 patient running away from doctors and police in Telangana,1
"the pandemic was planned; the COVID-19 vaccines are experimental; previously infected people have “permanent immunity”; VAERS shows vaccines killed thousands of people, vaccine-induced spike protein causes damage",1
Spectrum will provide free internet to students during coronavirus school closures.,1
Italian prime minister crying over COVID-19,1
"The Centers for Disease Control and Prevention advised parents to prepare for a “sudden sleepover” in the event of an emergency, which included COVID-19 outbreaks in schools.",1
An image shows a CNN report on an outbreak of cannibalism among COVID-19 vaccine recipients.,1
COVID-19 vaccines will cause more severe disease through antibody-dependent enhancement,1
Amitabh Bachchan visited Haji Ali dargah after recovering from Coronavirus,1
Gatherings of more than 30 people are illegal under the current Covid-19 guidelines.,1
Pfizer has added a new ingredient to its COVID-19 vaccine to reduce the risk of children having heart attacks as a side effect.,1
Drinking alcohol can protect you against COVID-19,1
Kuwaiti authorities prohibit entry into some public places for those who have not received vaccinations against COVID-19.,1
Pet Finder Can Tell If You've Been Vaccinated for COVID-19,1
Image of a critically ill COVID-19 infected woman hugging her child for the last time before her death,1
COVID-19 case numbers in NSW were higher than the threshold to lift the curfew in Victoria when Mr Morrison made his claim,1
Photo of bloody hospital ward after US coronavirus vaccination,1
Three decades old Class 12th textbook lists treatment for COVID-19.,1
The COVID-19 pandemic is “effectively over” and there’s no need for vaccines.,1
Australian supermarkets have banned Chinese people during the Coronavirus pandemic.,1
COVID-19 surge in India connected to rollout of vaccine,1
Eating morel mushrooms will make you susceptible to coronavirus,1
“Bill Gates Explains That The COVID Vaccine Will Use Experimental Technology And Permanently Alter Your DNA”,1
"The Philippines has fewer COVID-19 cases compared to less populated Italy because of Rodrigo Duterte's ""immediate response"" to the pandemic",1
The mRNA Covid-19 vaccines are experimental.,1
dietary supplements can serve to “neutralize” effects of widely-used Covid-19 shots,1
The WHO says children should not receive COVID-19 vaccines,1
"A child died in Barhaven, Ottawa after taking a Covid-19 vaccine",1
False claim circulates on Facebook in Myanmar that chewing betel quid can prevent Covid-19 infection,1
There are no reliable tests for a specific COVID-19 virus,1
Alberta failed to prove Covid-19 had been isolated in human tissue,1
Russia was the first country in the world to dissect Covid-19 corpses (going against WHO’s criminal orders of no autopsies.),1
"A professor in New South Wales Australia, has said under oath that the Covid-19 vaccines are not vaccines.",1
Herbal plant an antibiotic to treat novel coronavirus,1
"Says Anthony Fauci’s statement that the coronavirus death rate is 10 times that of the seasonal flu is “a claim without any scientific basis.""",1
Sri Lanka's health regulators approved herbal medication as Covid-19 cure,1
New COVID-19 are named after military codes and signal military operations.,1
President Emmerson Mnangagwa has decreed that rentals be suspended due to COVID-19,1
Video shows China lifts ban on Korans during COVID-19 pandemic,1
"“According to the CDC, so far this year, Florida has had 1,762 deaths from COVID-19 and 5,185 from pneumonia. Average pneumonia deaths in Florida from 2013-2018 for the same time period are 918.”",1
Video shows people leaving food packets on the road for the poor and needy who cannot earn due to the novel Coronavirus lockdown.,1
"The COVID-19 vaccines’ “spike protein is very dangerous, it's cytotoxic.”",1
"In Australia, ""they’re already taking children out of homes that there’s possible risk of COVID in — they’re putting them in detainment camps.""",1
"""Curb Your Enthusiasm"" began filming its eleventh season in November 2020, during the COVID-19 pandemic.",1
"""This peer-reviewed scientific study shows that COVID-19 vaccine causes two deaths for every three lives it saves.""",1
WebQoof Recap: Trolls Target Safoora; Experts on AC During COVID,1
The BBC interviewed a “crisis actor” who pretended to be hospitalized with COVID-19 during a news segment.,1
"A certain Vernon Coleman says, “COVID-19 vaccines are weapons of mass destruction and could end the human race.”",1
COVID-19 only affects the elderly and not the young,1
Dr. Ryan Cole has observed a worrying increase in cancerous test results in post-COVID-vaccination patients,1
Tonic water and zinc will kill COVID-19,1
South Africa approves ivermectin for Covid-19,1
COVID-19 vaccines caused 895 serious reactions among military veterans,1
Government to spray medicine in the air overnight to kill coronavirus.,1
Chicken infected with Coronavirus was found in Bangalore.,1
The Covid-19 vaccines put people who have received them in danger if 5G is ‘cranked up’.,1
99% of COVID-19 deaths were caused not by the coronavirus but by other diseases,1
"The Pfizer-BioNTech COVID-19 vaccine for children contains tromethamine, “a heart attack medication” with “a lot of potentially serious side effects”",1
Video shows COVID protocol flouted in Delhi's Jaffrabad area,1
"Patent filed for coronavirus, covid-19, in 2015",1
"Salty and sour food causes SARS-CoV-2, the virus behind COVID-19, to explode and dissolve.",1
No test can identify COVID-19 variants. Tests can only determine if a person is positive or negative for the disease.,1
10 people died in Germany after receiving the Pfizer COVID-19 vaccine.,1
Most people vaccinated against Covid-19 with mRNA shots will experience blood clots,1
Put a small pea-sized amount of antibiotic ointment like mupirocin inside your nostrils. The ointment will kill any infectious germs when you breathe and should kill the coronavirus before it gets to your lungs.,1
A video shows a group of young children in China wearing hazmat suits to protect them against COVID-19.,1
"“While all COVID-19 news has been going on, the U.S. Government has been sneakily trying to remove end-to-end encryption” which means “the government will be able to see all of your messages and listen to all of your calls.”",1
Bill Gates: “The Corona/Covid-19 Virus… is sent to remind us of the important lessons that we seem to have forgotten and it is up to us if we will learn them or not.”,1
Pfizer-BioNTech’s COVID-19 vaccine contains graphene oxide,1
The 'left' exposed President Trump to COVID-19 during the Sept. 29 presidential debate,1
Video shows police crackdown during COVID-19 lockdown in Spain,1
"COVID-19 vaccines are dangerous, there is complete documented evidence showing that they cause a lot of adverse effects and deaths that the media does not report",1
"As of July 17, 2020, Nueces County in Texas had seen 85 positive COVID-19 tests among children aged under 1 year.",1
An Ohio doctor died from a COVID-19 vaccine.,1
An official government poster from Ireland’s Health Products Regulatory Authority says sudden death is a side effect of the COVID-19 vaccines.,1
"“It is about some groundless accusations. In fact, this Russophobic obsession could be expected to fade under the current situation, but it doesn’t seem to be fading,""",1
Video shows North Korean TV announcing execution of Covid-19 patient,1
Pfizer added tromethamine to its formulation for the COVID-19 vaccine for kids ages 5 to 11. Tromethamine’s side effects are severe and pose risks to human health.,1
Amitabh Bachchan recorded a video message for doctors of Nanavati hospital after he was hospitalised post testing COVID positive,1
"Italy has concluded Covid-19 is not a virus, and people are actually dying of amplified global 5G electromagnetic radiation poisoning.",1
"People who receive COVID-19 vaccines are dangerous, they become a “real carrier of the virus”",1
"Germany halts all COVID-19 vaccines, says they are unsafe & no longer recommended.",1
"The Covid-19 vaccines have been authorised on an emergency licence, because they are still in clinical trials.",1
Accurate graphic over effectiveness of face masks in curbing the spread of COVID-19,1
Gavin Newsom had Bell's palsy or GBS after getting the COVID booster shot,1
Australian health authorities admit tests cannot distinguish COVID-19 from other diseases,1
CT Scan reports representing the lungs of a COVID-19 vaccinated person and others,1
World Bank lauds Philippine economy during Covid-19 pandemic,1
Neem leaves can cure COVID-19 and its symptoms,1
There are no TV commercials for COVID-19 vaccines in the U.S. because they would be required to list the vaccines' side effects.,1
"Zinc, tonic water, vitamin C and vitamin D are recommended to fight Covid-19",1
"After so many people died of Covid in India, Hindus lost faith in their religion and have started converting to Islam after destroying their idols.",1
